id_node1,id_node2,distance_km,time_h
7a4124b685,cd1422ca19,240.17,2.67
7a4124b685,e41909fd82,377.93,4.2
7a4124b685,005141b844,431.03,4.79
7a4124b685,49a6fe0fc7,686.72,7.63
7a4124b685,346f4572dd,293.09,3.26
7a4124b685,aadd50e099,399.06,4.43
7a4124b685,6cf3b39ac6,238.68,2.65
7a4124b685,234ac45c54,349.9,3.89
7a4124b685,e3125ea691,345.17,3.84
7a4124b685,50eba3b5e2,412.09,4.58
7a4124b685,5f5c0209bb,337.28,3.75
7a4124b685,c2bdcbf1e6,286.25,3.18
7a4124b685,42ff9f0471,262.35,2.92
7a4124b685,3821e42e30,332.18,3.69
7a4124b685,5ce079596e,320.54,3.56
7a4124b685,7c7c461a2c,362.69,4.03
7a4124b685,3a0c8b81c5,270.15,3.0
7a4124b685,9427f1d332,280.34,3.11
7a4124b685,759ab81d90,268.73,2.99
7a4124b685,b589ec1523,67.13,0.75
7a4124b685,71d038e16f,365.03,4.06
7a4124b685,1cebeaa211,264.57,2.94
7a4124b685,590999acbe,813.81,9.04
7a4124b685,78e967fa70,396.39,4.4
7a4124b685,e79898ae7c,348.97,3.88
7a4124b685,95e6949dee,726.22,8.07
7a4124b685,8e4c430aea,376.63,4.18
7a4124b685,d617085ab1,986.7,10.96
7a4124b685,5960156fbf,402.64,4.47
7a4124b685,f2684ab93d,471.38,5.24
7a4124b685,e639973562,295.97,3.29
7a4124b685,afe899e53c,384.32,4.27
7a4124b685,8a629a2faf,321.82,3.58
7a4124b685,f555606743,337.31,3.75
7a4124b685,7cf439946f,342.64,3.81
7a4124b685,2647a93e20,307.1,3.41
7a4124b685,415553669e,327.52,3.64
7a4124b685,ca6be55f56,431.82,4.8
7a4124b685,78bfc9430a,202.43,2.25
7a4124b685,27b24c9df5,489.35,5.44
7a4124b685,79fa107203,444.52,4.94
7a4124b685,981f604d5a,370.06,4.11
7a4124b685,efbcc0b9a0,405.44,4.5
7a4124b685,2fac506b51,395.5,4.39
7a4124b685,d0be6fa4fa,236.68,2.63
7a4124b685,842b603099,355.33,3.95
7a4124b685,b239d81b8f,418.6,4.65
7a4124b685,804e0ad062,278.77,3.1
7a4124b685,7ce0c227c6,376.98,4.19
7a4124b685,04964861f5,269.54,2.99
7a4124b685,89890345fa,453.8,5.04
7a4124b685,b1ce30e917,364.13,4.05
7a4124b685,1d2f5b1f88,393.55,4.37
7a4124b685,bab5bfe703,412.01,4.58
7a4124b685,a414d2ed32,400.97,4.46
7a4124b685,b690a2ff75,331.94,3.69
7a4124b685,726881ca61,187.85,2.09
7a4124b685,6d5a036687,384.64,4.27
7a4124b685,14e455cf83,437.31,4.86
7a4124b685,78f9d4c5d1,238.7,2.65
7a4124b685,cfdcacd037,395.88,4.4
7a4124b685,60aefb3512,409.71,4.55
7a4124b685,34ad001b2f,282.91,3.14
7a4124b685,b3cfda26af,434.72,4.83
7a4124b685,1272cc6601,173.52,1.93
7a4124b685,9f242fa503,335.81,3.73
7a4124b685,5d01947735,466.57,5.18
7a4124b685,1aed189151,434.64,4.83
7a4124b685,1ea179db6e,473.0,5.26
7a4124b685,69dfc2f4c6,480.24,5.34
7a4124b685,b204986e97,396.76,4.41
7a4124b685,449532c12a,382.67,4.25
7a4124b685,b1dbe52773,293.7,3.26
7a4124b685,5aa18783d9,342.87,3.81
7a4124b685,d7a7f5f186,590.88,6.57
7a4124b685,a4b4269028,373.71,4.15
7a4124b685,4f29488858,528.27,5.87
7a4124b685,dc68d61efe,401.42,4.46
7a4124b685,ab3aa544bb,381.83,4.24
7a4124b685,cdb82c173e,1053.59,11.71
7a4124b685,1afc5769de,258.96,2.88
7a4124b685,aace534141,378.22,4.2
7a4124b685,ba22951abf,314.29,3.49
7a4124b685,76842b6054,304.55,3.38
7a4124b685,96938eb81c,483.22,5.37
7a4124b685,a65fbc4ab8,949.08,10.55
7a4124b685,7f694862c1,324.58,3.61
