H:\AI Course\GNN_VRP\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 0 | Loss: 2974.142 | Policy: -2.211 | Value: 5952.706 | Entropy: 0.053
Episode 1 | Loss: 408.627 | Policy: -0.060 | Value: 817.374 | Entropy: 0.068
Episode 2 | Loss: 605.833 | Policy: 19.743 | Value: 1172.183 | Entropy: 0.141
Episode 3 | Loss: 1073.261 | Policy: 31.306 | Value: 2083.912 | Entropy: 0.131
Episode 4 | Loss: 1006.785 | Policy: 31.469 | Value: 1950.634 | Entropy: 0.121
Episode 5 | Loss: 478.349 | Policy: 18.824 | Value: 919.052 | Entropy: 0.143
Episode 6 | Loss: 198.313 | Policy: 10.813 | Value: 375.001 | Entropy: 0.124
Episode 7 | Loss: 102.573 | Policy: 3.045 | Value: 199.058 | Entropy: 0.126
Episode 8 | Loss: 157.431 | Policy: -0.144 | Value: 315.152 | Entropy: 0.148
Episode 9 | Loss: 246.915 | Policy: -0.610 | Value: 495.053 | Entropy: 0.144
Episode 10 | Loss: 232.247 | Policy: -0.533 | Value: 465.564 | Entropy: 0.149
Episode 11 | Loss: 234.246 | Policy: -0.462 | Value: 469.419 | Entropy: 0.178
Episode 12 | Loss: 262.200 | Policy: -0.377 | Value: 525.157 | Entropy: 0.176
Episode 13 | Loss: 109.219 | Policy: -0.081 | Value: 218.603 | Entropy: 0.163
Episode 14 | Loss: 63.557 | Policy: 0.687 | Value: 125.743 | Entropy: 0.190
Episode 15 | Loss: 59.099 | Policy: 5.724 | Value: 106.754 | Entropy: 0.199
Episode 16 | Loss: 148.253 | Policy: 10.819 | Value: 274.871 | Entropy: 0.184
Episode 17 | Loss: 124.577 | Policy: 10.105 | Value: 228.948 | Entropy: 0.202
Episode 18 | Loss: 249.361 | Policy: 15.125 | Value: 468.475 | Entropy: 0.196
Episode 19 | Loss: 123.346 | Policy: 9.877 | Value: 226.944 | Entropy: 0.310
Episode 20 | Loss: 55.913 | Policy: 5.264 | Value: 101.306 | Entropy: 0.351
Episode 21 | Loss: 64.596 | Policy: 5.431 | Value: 118.337 | Entropy: 0.344
Episode 22 | Loss: 39.232 | Policy: 2.252 | Value: 73.965 | Entropy: 0.292
Episode 23 | Loss: 105.244 | Policy: -0.200 | Value: 210.894 | Entropy: 0.258
Episode 24 | Loss: 62.434 | Policy: 0.054 | Value: 124.766 | Entropy: 0.268
Episode 25 | Loss: 55.382 | Policy: 0.370 | Value: 110.029 | Entropy: 0.306
Episode 26 | Loss: 85.486 | Policy: 0.080 | Value: 170.818 | Entropy: 0.389
Episode 27 | Loss: 61.325 | Policy: 1.069 | Value: 120.519 | Entropy: 0.339
Episode 28 | Loss: 39.449 | Policy: 1.573 | Value: 75.758 | Entropy: 0.272
Episode 29 | Loss: 43.056 | Policy: 3.603 | Value: 78.911 | Entropy: 0.276
Episode 30 | Loss: 48.131 | Policy: 4.600 | Value: 87.069 | Entropy: 0.393
Episode 31 | Loss: 44.407 | Policy: 4.415 | Value: 79.993 | Entropy: 0.412
Episode 32 | Loss: 47.765 | Policy: 4.608 | Value: 86.320 | Entropy: 0.283
Episode 33 | Loss: 42.417 | Policy: 3.446 | Value: 77.949 | Entropy: 0.288
Episode 34 | Loss: 50.886 | Policy: 5.167 | Value: 91.447 | Entropy: 0.469
Episode 35 | Loss: 43.612 | Policy: 1.815 | Value: 83.601 | Entropy: 0.431
Episode 36 | Loss: 36.753 | Policy: 2.430 | Value: 68.654 | Entropy: 0.401
Episode 37 | Loss: 39.350 | Policy: 1.154 | Value: 76.399 | Entropy: 0.367
Episode 38 | Loss: 36.554 | Policy: 2.749 | Value: 67.616 | Entropy: 0.321
Episode 39 | Loss: 39.754 | Policy: 2.169 | Value: 75.177 | Entropy: 0.314
Episode 40 | Loss: 48.741 | Policy: 0.564 | Value: 96.363 | Entropy: 0.354
Episode 41 | Loss: 39.590 | Policy: 1.042 | Value: 77.103 | Entropy: 0.383
Episode 42 | Loss: 39.133 | Policy: 0.821 | Value: 76.633 | Entropy: 0.414
