H:\AI Course\GNN_VRP\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 0 | Loss: 11623.949 | Policy: 115.078 | Value: 23017.742 | Entropy: 0.029
Episode 1 | Loss: 4657.549 | Policy: 68.692 | Value: 9177.722 | Entropy: 0.445
Episode 2 | Loss: 1563.779 | Policy: 34.401 | Value: 3058.759 | Entropy: 0.199
Episode 3 | Loss: 659.390 | Policy: 8.188 | Value: 1302.412 | Entropy: 0.335
Episode 4 | Loss: 891.194 | Policy: -1.205 | Value: 1784.807 | Entropy: 0.408
Episode 5 | Loss: 1896.420 | Policy: -2.020 | Value: 3796.887 | Entropy: 0.295
Episode 6 | Loss: 2494.405 | Policy: -2.123 | Value: 4993.063 | Entropy: 0.306
Episode 7 | Loss: 2040.309 | Policy: -1.913 | Value: 4084.449 | Entropy: 0.260
Episode 8 | Loss: 1741.784 | Policy: -1.776 | Value: 3487.125 | Entropy: 0.225
Episode 9 | Loss: 991.959 | Policy: -1.465 | Value: 1986.853 | Entropy: 0.198
Episode 10 | Loss: 566.534 | Policy: -1.039 | Value: 1135.157 | Entropy: 0.532
Episode 11 | Loss: 369.284 | Policy: 0.818 | Value: 736.941 | Entropy: 0.508
Episode 12 | Loss: 384.861 | Policy: -0.445 | Value: 770.618 | Entropy: 0.328
Episode 13 | Loss: 280.623 | Policy: 13.605 | Value: 534.041 | Entropy: 0.312
Episode 14 | Loss: 526.184 | Policy: 22.151 | Value: 1008.075 | Entropy: 0.362
Episode 15 | Loss: 589.525 | Policy: 23.579 | Value: 1131.901 | Entropy: 0.509
Episode 16 | Loss: 239.619 | Policy: 13.397 | Value: 452.451 | Entropy: 0.446
Episode 17 | Loss: 589.367 | Policy: 23.351 | Value: 1132.039 | Entropy: 0.265
Episode 18 | Loss: 642.477 | Policy: 25.764 | Value: 1233.433 | Entropy: 0.297
Episode 19 | Loss: 492.138 | Policy: 22.229 | Value: 939.826 | Entropy: 0.372
Episode 20 | Loss: 244.821 | Policy: 13.088 | Value: 463.472 | Entropy: 0.255
Episode 21 | Loss: 166.312 | Policy: 11.252 | Value: 310.125 | Entropy: 0.269
Episode 22 | Loss: 65.170 | Policy: 4.747 | Value: 120.851 | Entropy: 0.216
Episode 23 | Loss: 31.480 | Policy: 2.529 | Value: 57.905 | Entropy: 0.115
Episode 24 | Loss: 44.076 | Policy: 0.607 | Value: 86.939 | Entropy: 0.097
Episode 25 | Loss: 119.556 | Policy: -0.313 | Value: 239.740 | Entropy: 0.101
