H:\AI Course\GNN_VRP\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 0 | Loss: 4408.540 | Policy: -3.851 | Value: 8824.794 | Entropy: 0.658
Episode 1 | Loss: 528.301 | Policy: -1.418 | Value: 1059.439 | Entropy: 0.052
Episode 2 | Loss: 640.509 | Policy: 25.870 | Value: 1229.280 | Entropy: 0.001
Episode 3 | Loss: 1283.706 | Policy: 38.162 | Value: 2491.090 | Entropy: 0.107
Episode 4 | Loss: 1287.677 | Policy: 38.421 | Value: 2498.517 | Entropy: 0.228
Episode 5 | Loss: 796.030 | Policy: 29.295 | Value: 1533.474 | Entropy: 0.223
Episode 6 | Loss: 207.778 | Policy: 12.447 | Value: 390.667 | Entropy: 0.240
Episode 7 | Loss: 55.640 | Policy: 4.310 | Value: 102.665 | Entropy: 0.232
Episode 8 | Loss: 125.305 | Policy: -0.252 | Value: 251.119 | Entropy: 0.244
Episode 9 | Loss: 443.874 | Policy: -0.665 | Value: 889.084 | Entropy: 0.243
Episode 10 | Loss: 645.301 | Policy: -0.793 | Value: 1292.193 | Entropy: 0.242
Episode 11 | Loss: 493.514 | Policy: -0.706 | Value: 988.444 | Entropy: 0.223
Episode 12 | Loss: 650.743 | Policy: -0.908 | Value: 1303.307 | Entropy: 0.261
Episode 13 | Loss: 197.226 | Policy: -0.337 | Value: 395.133 | Entropy: 0.248
Episode 14 | Loss: 40.747 | Policy: 1.610 | Value: 78.283 | Entropy: 0.483
Episode 15 | Loss: 102.941 | Policy: 8.875 | Value: 188.137 | Entropy: 0.277
Episode 16 | Loss: 211.165 | Policy: 14.363 | Value: 393.610 | Entropy: 0.231
Episode 17 | Loss: 229.285 | Policy: 14.945 | Value: 428.683 | Entropy: 0.235
Episode 18 | Loss: 257.905 | Policy: 15.975 | Value: 483.865 | Entropy: 0.265
