H:\AI Course\GNN_VRP\core\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 0 | Loss: 1728.081 | Policy: -1.267 | Value: 3458.704 | Entropy: 0.379
Episode 1 | Loss: 552.139 | Policy: 15.376 | Value: 1073.531 | Entropy: 0.233
Episode 2 | Loss: 1000.703 | Policy: 30.492 | Value: 1940.427 | Entropy: 0.232
Episode 3 | Loss: 638.998 | Policy: 24.710 | Value: 1228.579 | Entropy: 0.151
Episode 4 | Loss: 118.761 | Policy: 6.419 | Value: 224.690 | Entropy: 0.320
Episode 5 | Loss: 259.667 | Policy: -0.152 | Value: 519.642 | Entropy: 0.233
Episode 6 | Loss: 618.209 | Policy: -0.419 | Value: 1237.260 | Entropy: 0.172
Episode 7 | Loss: 531.064 | Policy: -0.407 | Value: 1062.944 | Entropy: 0.169
Episode 8 | Loss: 236.941 | Policy: -0.125 | Value: 474.138 | Entropy: 0.236
Episode 9 | Loss: 38.270 | Policy: 3.354 | Value: 69.841 | Entropy: 0.423
Episode 10 | Loss: 177.320 | Policy: 12.424 | Value: 329.802 | Entropy: 0.446
Episode 11 | Loss: 324.500 | Policy: 18.754 | Value: 611.494 | Entropy: 0.153
Episode 12 | Loss: 366.727 | Policy: 20.234 | Value: 692.993 | Entropy: 0.366
Episode 13 | Loss: 213.935 | Policy: 14.677 | Value: 398.528 | Entropy: 0.647
Episode 14 | Loss: 42.558 | Policy: 3.863 | Value: 77.400 | Entropy: 0.524
Episode 15 | Loss: 39.114 | Policy: 1.393 | Value: 75.447 | Entropy: 0.212
Episode 16 | Loss: 144.490 | Policy: 0.077 | Value: 288.829 | Entropy: 0.114
Episode 17 | Loss: 185.440 | Policy: -0.121 | Value: 371.124 | Entropy: 0.109
Episode 18 | Loss: 194.301 | Policy: -0.144 | Value: 388.892 | Entropy: 0.095
Episode 19 | Loss: 70.957 | Policy: 0.796 | Value: 140.322 | Entropy: 0.046
Episode 20 | Loss: 41.353 | Policy: 1.508 | Value: 79.692 | Entropy: 0.015
Episode 21 | Loss: 38.848 | Policy: 3.901 | Value: 69.893 | Entropy: 0.008
Episode 22 | Loss: 82.496 | Policy: 8.052 | Value: 148.889 | Entropy: 0.007
Episode 23 | Loss: 122.643 | Policy: 10.599 | Value: 224.087 | Entropy: 0.010
Episode 24 | Loss: 143.073 | Policy: 11.648 | Value: 262.849 | Entropy: 0.021
Episode 25 | Loss: 83.996 | Policy: 8.018 | Value: 151.956 | Entropy: 0.047
