Episode 0 | Loss: 122986.031 | Policy: 489.844 | Value: 244992.391 | Reward: -514.98
Episode 1 | Loss: 113065.430 | Policy: 428.881 | Value: 225273.109 | Reward: -521.22
Episode 2 | Loss: 99260.422 | Policy: 392.251 | Value: 197736.359 | Reward: -519.98
Episode 3 | Loss: 49991.320 | Policy: 239.873 | Value: 99502.922 | Reward: -519.98
Episode 4 | Loss: 72627.898 | Policy: 300.460 | Value: 144654.906 | Reward: -519.98
Episode 5 | Loss: 108937.750 | Policy: 380.805 | Value: 217113.906 | Reward: -516.22
Episode 6 | Loss: 39259.609 | Policy: 208.239 | Value: 78102.758 | Reward: -521.22
Episode 7 | Loss: 98674.516 | Policy: 358.286 | Value: 196632.469 | Reward: -519.98
Episode 8 | Loss: 467.233 | Policy: -0.159 | Value: 934.798 | Reward: -27.46
Episode 9 | Loss: 112122.531 | Policy: 396.835 | Value: 223451.406 | Reward: -519.97
Episode 10 | Loss: 62000.844 | Policy: 276.264 | Value: 123449.164 | Reward: -521.22
Episode 11 | Loss: 83331.062 | Policy: 326.663 | Value: 166008.812 | Reward: -519.98
Episode 12 | Loss: 106077.789 | Policy: 382.834 | Value: 211389.922 | Reward: -519.98
Episode 13 | Loss: 86616.773 | Policy: 334.741 | Value: 172564.078 | Reward: -519.98
Episode 14 | Loss: 41010.488 | Policy: 218.289 | Value: 81584.414 | Reward: -511.22
Episode 15 | Loss: 92587.664 | Policy: 349.592 | Value: 184476.156 | Reward: -519.98
Episode 16 | Loss: 68935.977 | Policy: 295.702 | Value: 137280.562 | Reward: -519.97
Episode 17 | Loss: 15984.881 | Policy: 101.522 | Value: 31766.727 | Reward: -523.70
Episode 18 | Loss: 90931.562 | Policy: 357.248 | Value: 181148.625 | Reward: -509.97
Episode 19 | Loss: 85992.438 | Policy: 342.615 | Value: 171299.641 | Reward: -509.97
Episode 20 | Loss: 87656.023 | Policy: 354.914 | Value: 174602.219 | Reward: -509.98
Episode 21 | Loss: 81733.875 | Policy: 335.993 | Value: 162795.766 | Reward: -509.97
Episode 22 | Loss: 82102.445 | Policy: 343.478 | Value: 163517.953 | Reward: -509.98
Episode 23 | Loss: 6237.595 | Policy: -0.171 | Value: 12475.546 | Reward: -17.46
Episode 24 | Loss: 74319.602 | Policy: 320.276 | Value: 147998.672 | Reward: -509.98
Episode 25 | Loss: 71983.969 | Policy: 317.833 | Value: 143332.266 | Reward: -509.97
Episode 26 | Loss: 68918.234 | Policy: 310.996 | Value: 137214.484 | Reward: -509.98
Episode 27 | Loss: 12756.954 | Policy: 88.991 | Value: 25335.936 | Reward: -527.45
Episode 28 | Loss: 11599.810 | Policy: -0.260 | Value: 23200.154 | Reward: -9.97
Episode 29 | Loss: 9008.271 | Policy: 51.720 | Value: 17913.117 | Reward: -534.94
Episode 30 | Loss: 51225.445 | Policy: 260.879 | Value: 101929.148 | Reward: -509.98
Episode 31 | Loss: 56908.668 | Policy: 285.912 | Value: 113245.523 | Reward: -509.98
Episode 32 | Loss: 52354.730 | Policy: 271.027 | Value: 104167.414 | Reward: -509.98
Episode 33 | Loss: 50877.359 | Policy: 267.175 | Value: 101220.375 | Reward: -514.97
Episode 34 | Loss: 9400.893 | Policy: 30.796 | Value: 18740.211 | Reward: -523.70
Episode 35 | Loss: 45323.746 | Policy: 255.243 | Value: 90137.016 | Reward: -513.72
Episode 36 | Loss: 25149.613 | Policy: 177.387 | Value: 49944.469 | Reward: -534.94
Episode 37 | Loss: 7475.574 | Policy: 36.775 | Value: 14877.604 | Reward: -523.70
Episode 38 | Loss: 35728.453 | Policy: 226.536 | Value: 71003.836 | Reward: -509.97
Episode 39 | Loss: 32823.645 | Policy: 217.119 | Value: 65213.055 | Reward: -509.97
Episode 40 | Loss: 29820.172 | Policy: 206.932 | Value: 59226.480 | Reward: -509.97
Episode 41 | Loss: 26760.814 | Policy: 196.013 | Value: 53129.602 | Reward: -509.97
Episode 42 | Loss: 23688.516 | Policy: 184.398 | Value: 47008.234 | Reward: -509.97
Episode 43 | Loss: 20646.449 | Policy: 172.128 | Value: 40948.645 | Reward: -509.97
Episode 44 | Loss: 17677.777 | Policy: 159.245 | Value: 35037.062 | Reward: -509.97
Episode 45 | Loss: 14825.552 | Policy: 145.801 | Value: 29359.500 | Reward: -509.97
Episode 46 | Loss: 12132.068 | Policy: 131.854 | Value: 24000.428 | Reward: -509.97
Episode 47 | Loss: 9637.945 | Policy: 117.474 | Value: 19040.941 | Reward: -509.97
Episode 48 | Loss: 7380.980 | Policy: 102.744 | Value: 14556.474 | Reward: -509.97
Episode 49 | Loss: 5395.040 | Policy: 87.764 | Value: 10614.552 | Reward: -509.97
Episode 50 | Loss: 3707.586 | Policy: 72.653 | Value: 7269.867 | Reward: -509.97
Episode 51 | Loss: 2337.961 | Policy: 57.547 | Value: 4560.827 | Reward: -509.97
Episode 52 | Loss: 1295.070 | Policy: 42.605 | Value: 2504.930 | Reward: -509.97
Episode 53 | Loss: 575.670 | Policy: 28.002 | Value: 1095.337 | Reward: -509.97
Episode 54 | Loss: 163.002 | Policy: 13.939 | Value: 298.127 | Reward: -509.97
Episode 55 | Loss: 48.814 | Policy: 2.171 | Value: 93.286 | Reward: -514.96
Episode 56 | Loss: 127.820 | Policy: -1.241 | Value: 258.123 | Reward: -509.97
Episode 57 | Loss: 398.995 | Policy: -4.416 | Value: 806.822 | Reward: -509.97
Episode 58 | Loss: 950.449 | Policy: -5.786 | Value: 1912.471 | Reward: -514.96
Episode 59 | Loss: 1409.163 | Policy: -7.650 | Value: 2833.626 | Reward: -514.96
Episode 60 | Loss: 1836.521 | Policy: -9.124 | Value: 3691.290 | Reward: -514.96
Episode 61 | Loss: 2182.281 | Policy: -10.197 | Value: 4384.956 | Reward: -514.96
Episode 62 | Loss: 2126.714 | Policy: -13.561 | Value: 4280.551 | Reward: -509.97
Episode 63 | Loss: 2229.694 | Policy: -13.955 | Value: 4487.299 | Reward: -509.97
Episode 64 | Loss: 2219.272 | Policy: -13.930 | Value: 4466.405 | Reward: -509.97
