Episode 0 | Loss: 137700.906 | Policy: 445.905 | Value: 274510.031 | Reward: -554.36
Episode 1 | Loss: 141817.453 | Policy: 478.868 | Value: 282677.188 | Reward: -579.35
Episode 2 | Loss: 143881.734 | Policy: 475.959 | Value: 286811.594 | Reward: -613.73
Episode 3 | Loss: 136076.688 | Policy: 438.227 | Value: 271276.938 | Reward: -574.98
Episode 4 | Loss: 138753.500 | Policy: 447.825 | Value: 276611.375 | Reward: -574.36
Episode 5 | Loss: 132651.328 | Policy: 464.040 | Value: 264374.594 | Reward: -549.35
Episode 6 | Loss: 138237.016 | Policy: 438.011 | Value: 275598.031 | Reward: -591.21
Episode 7 | Loss: 127025.922 | Policy: 436.718 | Value: 253178.438 | Reward: -544.36
Episode 8 | Loss: 129229.227 | Policy: 435.741 | Value: 257587.000 | Reward: -558.73
Episode 9 | Loss: 125924.227 | Policy: 426.437 | Value: 250995.609 | Reward: -555.61
Episode 10 | Loss: 123612.469 | Policy: 447.203 | Value: 246330.562 | Reward: -535.61
Episode 11 | Loss: 121816.969 | Policy: 427.609 | Value: 242778.750 | Reward: -544.36
Episode 12 | Loss: 119995.602 | Policy: 424.489 | Value: 239142.250 | Reward: -545.61
Episode 13 | Loss: 121549.008 | Policy: 428.567 | Value: 242240.906 | Reward: -558.10
Episode 14 | Loss: 116465.281 | Policy: 418.136 | Value: 232094.328 | Reward: -544.36
Episode 15 | Loss: 114771.203 | Policy: 415.068 | Value: 228712.297 | Reward: -544.36
Episode 16 | Loss: 114109.828 | Policy: 401.100 | Value: 227417.469 | Reward: -564.35
Episode 17 | Loss: 116837.297 | Policy: 402.582 | Value: 232869.453 | Reward: -581.85
Episode 18 | Loss: 111299.547 | Policy: 396.078 | Value: 221806.953 | Reward: -565.60
Episode 19 | Loss: 110386.711 | Policy: 392.148 | Value: 219989.141 | Reward: -580.59
Episode 20 | Loss: 105759.547 | Policy: 386.095 | Value: 210746.922 | Reward: -564.36
Episode 21 | Loss: 101928.266 | Policy: 383.542 | Value: 203089.453 | Reward: -553.11
Episode 22 | Loss: 101863.445 | Policy: 385.752 | Value: 202955.391 | Reward: -586.86
Episode 23 | Loss: 97659.633 | Policy: 368.066 | Value: 194583.141 | Reward: -575.61
Episode 24 | Loss: 94456.102 | Policy: 361.977 | Value: 188188.250 | Reward: -575.61
Episode 25 | Loss: 92467.430 | Policy: 361.053 | Value: 184212.750 | Reward: -570.60
Episode 26 | Loss: 86432.047 | Policy: 349.068 | Value: 172165.953 | Reward: -564.35
Episode 27 | Loss: 82878.094 | Policy: 341.815 | Value: 165072.562 | Reward: -564.35
Episode 28 | Loss: 79199.594 | Policy: 334.142 | Value: 157730.906 | Reward: -564.35
Episode 29 | Loss: 77867.875 | Policy: 328.648 | Value: 155078.453 | Reward: -580.59
Episode 30 | Loss: 71490.648 | Policy: 317.457 | Value: 142346.391 | Reward: -564.35
Episode 31 | Loss: 68981.961 | Policy: 309.294 | Value: 137345.328 | Reward: -578.10
Episode 32 | Loss: 63377.105 | Policy: 298.887 | Value: 126156.438 | Reward: -564.35
Episode 33 | Loss: 59204.340 | Policy: 288.871 | Value: 117830.938 | Reward: -564.35
