C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([4])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 0 | Loss: 1.104 | Policy: 0.532 | Value: 1.178 | Reward: -475.61
C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([3])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 1 | Loss: 0.193 | Policy: -0.301 | Value: 1.003 | Reward: -483.11
C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([2])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 2 | Loss: -0.163 | Policy: -0.688 | Value: 1.055 | Reward: -493.11
Episode 3 | Loss: 0.329 | Policy: -0.001 | Value: 0.667 | Reward: -483.11
Episode 4 | Loss: 0.498 | Policy: 0.122 | Value: 0.758 | Reward: -473.11
Episode 5 | Loss: 0.077 | Policy: -0.180 | Value: 0.515 | Reward: -493.11
Episode 6 | Loss: 0.292 | Policy: -0.040 | Value: 0.667 | Reward: -483.11
Episode 7 | Loss: 0.271 | Policy: 0.017 | Value: 0.509 | Reward: -493.11
Episode 8 | Loss: 0.193 | Policy: -0.158 | Value: 0.702 | Reward: -483.11
Episode 9 | Loss: 0.211 | Policy: -0.132 | Value: 0.687 | Reward: -483.11
Episode 10 | Loss: 0.374 | Policy: 0.034 | Value: 0.679 | Reward: -483.11
Episode 11 | Loss: 0.382 | Policy: 0.041 | Value: 0.682 | Reward: -483.11
Episode 12 | Loss: 0.254 | Policy: -0.081 | Value: 0.670 | Reward: -483.11
Episode 13 | Loss: 0.270 | Policy: -0.064 | Value: 0.667 | Reward: -483.11
