C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([3])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 0 | Loss: 0.725 | Policy: -1.147 | Value: 3.777 | Reward: -483.11
C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([4])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 1 | Loss: 0.338 | Policy: -0.171 | Value: 1.038 | Reward: -476.85
C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([2])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 2 | Loss: 1.005 | Policy: 0.535 | Value: 0.950 | Reward: -496.85
Episode 3 | Loss: 1.367 | Policy: 0.724 | Value: 1.290 | Reward: -496.85
Episode 4 | Loss: 0.630 | Policy: 0.229 | Value: 0.810 | Reward: -475.60
Episode 5 | Loss: 0.175 | Policy: -0.179 | Value: 0.712 | Reward: -485.61
Episode 6 | Loss: 0.161 | Policy: -0.233 | Value: 0.791 | Reward: -485.60
Episode 7 | Loss: 0.342 | Policy: -0.043 | Value: 0.774 | Reward: -476.85
Episode 8 | Loss: 0.376 | Policy: 0.037 | Value: 0.679 | Reward: -486.85
Episode 9 | Loss: 0.430 | Policy: 0.150 | Value: 0.560 | Reward: -496.85
Episode 10 | Loss: 0.321 | Policy: -0.013 | Value: 0.668 | Reward: -486.85
Episode 11 | Loss: 0.138 | Policy: -0.230 | Value: 0.737 | Reward: -485.61
Episode 12 | Loss: 0.149 | Policy: -0.245 | Value: 0.789 | Reward: -486.85
Episode 13 | Loss: 0.177 | Policy: -0.189 | Value: 0.732 | Reward: -485.60
Episode 14 | Loss: 0.288 | Policy: -0.046 | Value: 0.667 | Reward: -486.85
Episode 15 | Loss: 0.584 | Policy: 0.185 | Value: 0.798 | Reward: -476.85
Episode 16 | Loss: 0.677 | Policy: 0.270 | Value: 0.814 | Reward: -486.85
Episode 17 | Loss: 0.608 | Policy: 0.221 | Value: 0.774 | Reward: -486.85
