C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([4])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 0 | Loss: 0.037 | Policy: -0.554 | Value: 1.206 | Reward: -485.61
Episode 1 | Loss: 0.236 | Policy: -0.196 | Value: 0.887 | Reward: -482.49
Episode 2 | Loss: 0.478 | Policy: 0.102 | Value: 0.763 | Reward: -475.61
C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([3])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 3 | Loss: 0.423 | Policy: 0.079 | Value: 0.691 | Reward: -486.86
Episode 4 | Loss: 0.159 | Policy: -0.183 | Value: 0.687 | Reward: -485.61
Episode 5 | Loss: 0.326 | Policy: -0.052 | Value: 0.759 | Reward: -487.48
Episode 6 | Loss: 0.427 | Policy: 0.051 | Value: 0.755 | Reward: -487.48
Episode 7 | Loss: 0.359 | Policy: 0.021 | Value: 0.678 | Reward: -486.86
Episode 8 | Loss: 0.336 | Policy: -0.040 | Value: 0.754 | Reward: -487.48
Episode 9 | Loss: 0.209 | Policy: -0.127 | Value: 0.671 | Reward: -485.61
Episode 10 | Loss: 0.340 | Policy: 0.003 | Value: 0.674 | Reward: -492.49
Episode 11 | Loss: 0.331 | Policy: -0.005 | Value: 0.672 | Reward: -492.49
Episode 12 | Loss: 0.208 | Policy: -0.127 | Value: 0.671 | Reward: -492.49
Episode 13 | Loss: 0.211 | Policy: -0.124 | Value: 0.670 | Reward: -492.49
Episode 14 | Loss: 0.320 | Policy: -0.015 | Value: 0.671 | Reward: -485.61
Episode 15 | Loss: 0.313 | Policy: -0.022 | Value: 0.670 | Reward: -492.49
Episode 16 | Loss: 0.335 | Policy: -0.041 | Value: 0.753 | Reward: -487.48
Episode 17 | Loss: 0.211 | Policy: -0.124 | Value: 0.670 | Reward: -485.61
Episode 18 | Loss: 0.309 | Policy: -0.025 | Value: 0.669 | Reward: -485.61
Episode 19 | Loss: 0.303 | Policy: -0.031 | Value: 0.669 | Reward: -485.61
Episode 20 | Loss: 0.207 | Policy: -0.128 | Value: 0.671 | Reward: -485.61
Episode 21 | Loss: 0.211 | Policy: -0.124 | Value: 0.670 | Reward: -485.61
Episode 22 | Loss: 0.303 | Policy: -0.031 | Value: 0.669 | Reward: -485.61
Episode 23 | Loss: 0.298 | Policy: -0.037 | Value: 0.668 | Reward: -485.61
Episode 24 | Loss: 0.207 | Policy: -0.128 | Value: 0.671 | Reward: -488.10
Episode 25 | Loss: 0.211 | Policy: -0.124 | Value: 0.670 | Reward: -485.61
Episode 26 | Loss: 0.299 | Policy: -0.035 | Value: 0.668 | Reward: -485.61
