C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([5])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 0 | Loss: 0.569 | Policy: 0.187 | Value: 0.802 | Reward: -846.24
C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([3])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 1 | Loss: 0.463 | Policy: 0.112 | Value: 0.730 | Reward: -825.00
Episode 2 | Loss: 0.504 | Policy: 0.121 | Value: 0.800 | Reward: -825.00
C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([10])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 3 | Loss: 0.558 | Policy: 0.117 | Value: 0.904 | Reward: -825.00
C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([147])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 4 | Loss: 0.650 | Policy: 0.159 | Value: 0.996 | Reward: -826.74
C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([200])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 5 | Loss: 0.646 | Policy: 0.154 | Value: 0.998 | Reward: -300.00
Episode 6 | Loss: 0.642 | Policy: 0.150 | Value: 0.997 | Reward: -300.00
Episode 7 | Loss: 0.637 | Policy: 0.145 | Value: 0.997 | Reward: -300.00
