Episode 0 | Loss: 17.716 | Policy: 4.229 | Value: 27.007 | Reward: -447.24
Episode 1 | Loss: 1.751 | Policy: 0.891 | Value: 1.763 | Reward: -611.24
Episode 2 | Loss: 2.764 | Policy: -1.239 | Value: 8.046 | Reward: -500.24
Episode 3 | Loss: 4.600 | Policy: -1.862 | Value: 12.954 | Reward: -531.24
Episode 4 | Loss: 3.514 | Policy: -1.359 | Value: 9.777 | Reward: -556.24
Episode 5 | Loss: 1.508 | Policy: -0.645 | Value: 4.330 | Reward: -416.50
Episode 6 | Loss: 0.040 | Policy: -0.176 | Value: 0.456 | Reward: -531.24
Episode 7 | Loss: 2.417 | Policy: 1.187 | Value: 2.485 | Reward: -500.24
Episode 8 | Loss: 5.112 | Policy: 2.010 | Value: 6.227 | Reward: -555.74
Episode 9 | Loss: 5.562 | Policy: 2.175 | Value: 6.793 | Reward: -530.24
Episode 10 | Loss: 3.671 | Policy: 1.623 | Value: 4.110 | Reward: -415.99
Episode 11 | Loss: 3.422 | Policy: 1.651 | Value: 3.560 | Reward: -532.74
Episode 12 | Loss: 0.643 | Policy: 0.432 | Value: 0.436 | Reward: -530.74
Episode 13 | Loss: 0.020 | Policy: -0.391 | Value: 0.832 | Reward: -556.24
Episode 14 | Loss: 0.359 | Policy: -0.760 | Value: 2.252 | Reward: -586.24
Episode 15 | Loss: 2.170 | Policy: -0.478 | Value: 5.311 | Reward: -448.24
Episode 16 | Loss: 1.476 | Policy: -0.517 | Value: 4.004 | Reward: -472.49
Episode 17 | Loss: 0.440 | Policy: -0.489 | Value: 1.877 | Reward: -556.24
Episode 18 | Loss: 0.109 | Policy: -0.259 | Value: 0.752 | Reward: -473.49
Episode 19 | Loss: 0.428 | Policy: 0.303 | Value: 0.265 | Reward: -556.24
Episode 20 | Loss: 1.224 | Policy: 0.756 | Value: 0.948 | Reward: -528.49
Episode 21 | Loss: 0.970 | Policy: 0.642 | Value: 0.667 | Reward: -501.24
Episode 22 | Loss: 1.077 | Policy: 0.682 | Value: 0.800 | Reward: -557.24
Episode 23 | Loss: 0.348 | Policy: 0.254 | Value: 0.201 | Reward: -555.24
Episode 24 | Loss: -0.089 | Policy: -0.210 | Value: 0.252 | Reward: -525.99
Episode 25 | Loss: -0.153 | Policy: -0.347 | Value: 0.402 | Reward: -612.24
Episode 26 | Loss: 1.251 | Policy: -0.215 | Value: 2.941 | Reward: -362.99
Episode 27 | Loss: 0.195 | Policy: -0.224 | Value: 0.849 | Reward: -473.49
Episode 28 | Loss: -0.062 | Policy: -0.084 | Value: 0.055 | Reward: -526.49
Episode 29 | Loss: 0.056 | Policy: 0.052 | Value: 0.019 | Reward: -419.99
Episode 30 | Loss: 1.076 | Policy: 0.707 | Value: 0.751 | Reward: -472.99
Episode 31 | Loss: 0.386 | Policy: 0.308 | Value: 0.167 | Reward: -310.99
Episode 32 | Loss: 1.746 | Policy: 0.998 | Value: 1.508 | Reward: -526.49
Episode 33 | Loss: 0.708 | Policy: 0.493 | Value: 0.442 | Reward: -473.49
Episode 34 | Loss: 0.491 | Policy: 0.330 | Value: 0.329 | Reward: -610.24
Episode 35 | Loss: -0.048 | Policy: -0.299 | Value: 0.511 | Reward: -556.24
Episode 36 | Loss: 0.483 | Policy: -0.338 | Value: 1.651 | Reward: -474.49
Episode 37 | Loss: 0.883 | Policy: -0.324 | Value: 2.423 | Reward: -419.49
Episode 38 | Loss: 0.194 | Policy: -0.420 | Value: 1.233 | Reward: -556.24
Episode 39 | Loss: -0.039 | Policy: -0.319 | Value: 0.565 | Reward: -556.24
Episode 40 | Loss: 0.234 | Policy: 0.122 | Value: 0.227 | Reward: -610.24
Episode 41 | Loss: 0.619 | Policy: 0.400 | Value: 0.440 | Reward: -611.24
Episode 42 | Loss: 0.650 | Policy: 0.422 | Value: 0.458 | Reward: -611.24
Episode 43 | Loss: 0.130 | Policy: 0.053 | Value: 0.156 | Reward: -556.24
Episode 44 | Loss: -0.095 | Policy: -0.209 | Value: 0.232 | Reward: -556.24
Episode 45 | Loss: -0.133 | Policy: -0.219 | Value: 0.174 | Reward: -610.74
Episode 46 | Loss: -0.104 | Policy: -0.175 | Value: 0.143 | Reward: -556.74
Episode 47 | Loss: 0.486 | Policy: 0.351 | Value: 0.271 | Reward: -611.24
Episode 48 | Loss: 0.264 | Policy: 0.214 | Value: 0.100 | Reward: -557.24
Episode 49 | Loss: 0.103 | Policy: 0.086 | Value: 0.036 | Reward: -556.24
Episode 50 | Loss: 0.052 | Policy: 0.026 | Value: 0.053 | Reward: -612.24
Episode 51 | Loss: 0.169 | Policy: -0.263 | Value: 0.865 | Reward: -556.74
Episode 52 | Loss: 0.015 | Policy: -0.355 | Value: 0.740 | Reward: -611.24
Episode 53 | Loss: 0.422 | Policy: -0.305 | Value: 1.455 | Reward: -556.24
Episode 54 | Loss: 0.209 | Policy: -0.216 | Value: 0.853 | Reward: -557.24
Episode 55 | Loss: 0.022 | Policy: -0.065 | Value: 0.177 | Reward: -557.24
Episode 56 | Loss: 0.477 | Policy: 0.359 | Value: 0.237 | Reward: -556.24
Episode 57 | Loss: 1.079 | Policy: 0.706 | Value: 0.747 | Reward: -555.74
Episode 58 | Loss: 2.125 | Policy: 1.179 | Value: 1.892 | Reward: -610.25
Episode 59 | Loss: 1.641 | Policy: 0.982 | Value: 1.318 | Reward: -611.24
Episode 60 | Loss: 0.769 | Policy: 0.552 | Value: 0.434 | Reward: -611.24
Episode 61 | Loss: 0.071 | Policy: -0.098 | Value: 0.339 | Reward: -555.74
Episode 62 | Loss: 0.229 | Policy: -0.195 | Value: 0.851 | Reward: -556.24
Episode 63 | Loss: -0.059 | Policy: -0.208 | Value: 0.300 | Reward: -611.24
