Episode 0 | Loss: 0.707 | Policy: 0.163 | Value: 1.128 | Reward: -419.99
Episode 1 | Loss: 1.002 | Policy: -0.753 | Value: 3.543 | Reward: -416.99
Episode 2 | Loss: -0.104 | Policy: -0.245 | Value: 0.301 | Reward: -555.74
Episode 3 | Loss: 3.818 | Policy: 1.696 | Value: 4.252 | Reward: -610.24
Episode 4 | Loss: 4.957 | Policy: 2.149 | Value: 5.621 | Reward: -611.74
Episode 5 | Loss: 2.287 | Policy: 1.205 | Value: 2.166 | Reward: -555.25
Episode 6 | Loss: 0.186 | Policy: 0.142 | Value: 0.090 | Reward: -555.25
Episode 7 | Loss: 0.704 | Policy: -0.454 | Value: 2.319 | Reward: -555.24
Episode 8 | Loss: 1.928 | Policy: -0.629 | Value: 5.116 | Reward: -555.25
Episode 9 | Loss: 1.994 | Policy: -0.626 | Value: 5.242 | Reward: -555.24
Episode 10 | Loss: 1.933 | Policy: -0.397 | Value: 4.662 | Reward: -471.99
Episode 11 | Loss: 0.091 | Policy: -0.262 | Value: 0.707 | Reward: -555.24
Episode 12 | Loss: 0.522 | Policy: 0.389 | Value: 0.267 | Reward: -555.24
Episode 13 | Loss: 0.899 | Policy: 0.608 | Value: 0.582 | Reward: -502.24
Episode 14 | Loss: 1.701 | Policy: 0.987 | Value: 1.430 | Reward: -555.24
Episode 15 | Loss: 1.056 | Policy: 0.692 | Value: 0.730 | Reward: -555.25
Episode 16 | Loss: 0.124 | Policy: 0.097 | Value: 0.055 | Reward: -555.25
Episode 17 | Loss: 0.109 | Policy: -0.281 | Value: 0.781 | Reward: -555.24
Episode 18 | Loss: 0.526 | Policy: -0.403 | Value: 1.858 | Reward: -555.24
Episode 19 | Loss: 0.585 | Policy: -0.418 | Value: 2.006 | Reward: -555.24
Episode 20 | Loss: 0.268 | Policy: -0.341 | Value: 1.220 | Reward: -555.24
Episode 21 | Loss: -0.064 | Policy: -0.185 | Value: 0.243 | Reward: -555.24
Episode 22 | Loss: 0.495 | Policy: 0.373 | Value: 0.245 | Reward: -555.24
Episode 23 | Loss: 1.198 | Policy: 0.766 | Value: 0.865 | Reward: -525.49
Episode 24 | Loss: 1.310 | Policy: 0.815 | Value: 0.990 | Reward: -557.24
Episode 25 | Loss: 0.832 | Policy: 0.574 | Value: 0.517 | Reward: -555.24
Episode 26 | Loss: 0.101 | Policy: 0.077 | Value: 0.049 | Reward: -555.25
Episode 27 | Loss: 0.039 | Policy: -0.253 | Value: 0.585 | Reward: -555.24
Episode 28 | Loss: 0.341 | Policy: -0.354 | Value: 1.391 | Reward: -555.24
Episode 29 | Loss: 0.391 | Policy: -0.363 | Value: 1.509 | Reward: -555.24
Episode 30 | Loss: 0.164 | Policy: -0.289 | Value: 0.907 | Reward: -555.24
Episode 31 | Loss: -0.063 | Policy: -0.143 | Value: 0.161 | Reward: -555.24
Episode 32 | Loss: 0.501 | Policy: 0.383 | Value: 0.238 | Reward: -555.24
Episode 33 | Loss: 1.147 | Policy: 0.743 | Value: 0.808 | Reward: -555.24
Episode 34 | Loss: 1.256 | Policy: 0.800 | Value: 0.913 | Reward: -525.49
Episode 35 | Loss: 0.825 | Policy: 0.576 | Value: 0.498 | Reward: -555.74
Episode 36 | Loss: 0.135 | Policy: 0.113 | Value: 0.044 | Reward: -555.24
Episode 37 | Loss: 0.014 | Policy: -0.208 | Value: 0.444 | Reward: -555.24
Episode 38 | Loss: 0.761 | Policy: -0.274 | Value: 2.071 | Reward: -500.74
Episode 39 | Loss: 1.456 | Policy: -0.236 | Value: 3.387 | Reward: -416.49
Episode 40 | Loss: 0.108 | Policy: -0.267 | Value: 0.753 | Reward: -555.24
Episode 41 | Loss: -0.073 | Policy: -0.140 | Value: 0.133 | Reward: -555.24
Episode 42 | Loss: 0.471 | Policy: 0.362 | Value: 0.219 | Reward: -555.24
Episode 43 | Loss: 1.047 | Policy: 0.691 | Value: 0.711 | Reward: -555.24
Episode 44 | Loss: 1.133 | Policy: 0.734 | Value: 0.798 | Reward: -555.24
Episode 45 | Loss: 0.735 | Policy: 0.523 | Value: 0.425 | Reward: -555.25
