Episode 0 | Loss: 11.002 | Policy: -1.615 | Value: 25.240 | Reward: -862.87
Episode 1 | Loss: 0.532 | Policy: -0.882 | Value: 2.831 | Reward: -962.87
Episode 2 | Loss: 4.240 | Policy: 1.655 | Value: 5.170 | Reward: -762.87
Episode 3 | Loss: 6.681 | Policy: 2.323 | Value: 8.718 | Reward: -862.87
Episode 4 | Loss: 5.383 | Policy: 2.052 | Value: 6.662 | Reward: -963.37
Episode 5 | Loss: 2.267 | Policy: 1.081 | Value: 2.372 | Reward: -862.87
Episode 6 | Loss: 0.112 | Policy: -0.138 | Value: 0.501 | Reward: -862.87
Episode 7 | Loss: 0.247 | Policy: -0.382 | Value: 1.259 | Reward: -762.87
Episode 8 | Loss: 0.101 | Policy: -0.429 | Value: 1.060 | Reward: -862.87
Episode 9 | Loss: -0.098 | Policy: -0.292 | Value: 0.389 | Reward: -862.87
Episode 10 | Loss: 0.453 | Policy: 0.303 | Value: 0.300 | Reward: -862.87
Episode 11 | Loss: 0.800 | Policy: 0.534 | Value: 0.532 | Reward: -862.87
Episode 12 | Loss: 0.511 | Policy: 0.374 | Value: 0.275 | Reward: -862.87
Episode 13 | Loss: -0.064 | Policy: -0.087 | Value: 0.046 | Reward: -862.87
Episode 14 | Loss: 0.062 | Policy: -0.110 | Value: 0.345 | Reward: -762.87
Episode 15 | Loss: 0.069 | Policy: 0.057 | Value: 0.025 | Reward: -862.87
Episode 16 | Loss: 0.015 | Policy: 0.003 | Value: 0.025 | Reward: -862.87
Episode 17 | Loss: 0.183 | Policy: 0.156 | Value: 0.054 | Reward: -862.87
Episode 18 | Loss: 0.057 | Policy: -0.017 | Value: 0.148 | Reward: -762.87
Episode 19 | Loss: 0.079 | Policy: 0.056 | Value: 0.047 | Reward: -763.37
Episode 20 | Loss: 0.944 | Policy: 0.646 | Value: 0.595 | Reward: -862.87
Episode 21 | Loss: 1.120 | Policy: 0.733 | Value: 0.774 | Reward: -862.87
Episode 22 | Loss: 0.795 | Policy: 0.558 | Value: 0.475 | Reward: -862.87
Episode 23 | Loss: -0.045 | Policy: -0.053 | Value: 0.016 | Reward: -762.87
Episode 24 | Loss: 0.071 | Policy: 0.043 | Value: 0.057 | Reward: -862.87
Episode 25 | Loss: -0.095 | Policy: -0.165 | Value: 0.141 | Reward: -862.87
Episode 26 | Loss: -0.086 | Policy: -0.170 | Value: 0.170 | Reward: -862.87
Episode 27 | Loss: -0.022 | Policy: -0.107 | Value: 0.171 | Reward: -762.87
Episode 28 | Loss: 0.390 | Policy: 0.308 | Value: 0.165 | Reward: -862.87
