Episode 0 | Loss: 1.766 | Policy: 0.370 | Value: 2.803 | Reward: 150.32
Episode 1 | Loss: 5.465 | Policy: 2.095 | Value: 6.763 | Reward: 156.13
Episode 2 | Loss: 3.005 | Policy: 1.463 | Value: 3.108 | Reward: 99.94
Episode 3 | Loss: -0.057 | Policy: -0.071 | Value: 0.052 | Reward: 156.38
Episode 4 | Loss: -0.115 | Policy: -0.201 | Value: 0.193 | Reward: 155.75
Episode 5 | Loss: 0.414 | Policy: 0.297 | Value: 0.258 | Reward: 155.01
Episode 6 | Loss: 0.169 | Policy: 0.128 | Value: 0.108 | Reward: 155.51
Episode 7 | Loss: 0.008 | Policy: -0.188 | Value: 0.419 | Reward: 155.51
Episode 8 | Loss: 0.061 | Policy: -0.121 | Value: 0.394 | Reward: 150.57
Episode 9 | Loss: 0.053 | Policy: 0.055 | Value: 0.024 | Reward: 151.69
Episode 10 | Loss: 0.883 | Policy: 0.612 | Value: 0.572 | Reward: 155.51
Episode 11 | Loss: 1.093 | Policy: 0.712 | Value: 0.793 | Reward: 150.69
Episode 12 | Loss: 0.518 | Policy: 0.388 | Value: 0.290 | Reward: 155.26
Episode 13 | Loss: -0.141 | Policy: -0.207 | Value: 0.163 | Reward: 155.76
Episode 14 | Loss: 0.002 | Policy: -0.176 | Value: 0.389 | Reward: 155.38
Episode 15 | Loss: -0.093 | Policy: -0.160 | Value: 0.168 | Reward: 155.38
Episode 16 | Loss: 0.282 | Policy: 0.229 | Value: 0.138 | Reward: 150.69
Episode 17 | Loss: 0.433 | Policy: 0.342 | Value: 0.213 | Reward: 99.57
Episode 18 | Loss: 0.112 | Policy: 0.113 | Value: 0.029 | Reward: 150.69
Episode 19 | Loss: 0.000 | Policy: -0.107 | Value: 0.244 | Reward: 150.07
Episode 20 | Loss: 0.078 | Policy: -0.131 | Value: 0.447 | Reward: 156.13
Episode 21 | Loss: 0.027 | Policy: -0.059 | Value: 0.204 | Reward: 155.26
