Episode 0 | Loss: 0.822 | Policy: 0.053 | Value: 1.574 | Reward: 156.13
Episode 1 | Loss: 7.337 | Policy: 2.530 | Value: 9.648 | Reward: 155.38
Episode 2 | Loss: 5.419 | Policy: 2.108 | Value: 6.659 | Reward: 155.76
Episode 3 | Loss: 0.976 | Policy: 0.659 | Value: 0.672 | Reward: 156.38
Episode 4 | Loss: 1.014 | Policy: -0.271 | Value: 2.603 | Reward: 155.76
Episode 5 | Loss: 2.470 | Policy: -0.350 | Value: 5.666 | Reward: 155.26
Episode 6 | Loss: 1.835 | Policy: -0.378 | Value: 4.450 | Reward: 150.57
Episode 7 | Loss: 0.415 | Policy: -0.233 | Value: 1.321 | Reward: 150.07
Episode 8 | Loss: 0.292 | Policy: 0.241 | Value: 0.126 | Reward: 151.07
Episode 9 | Loss: 0.871 | Policy: 0.600 | Value: 0.566 | Reward: 149.76
Episode 10 | Loss: 0.944 | Policy: 0.639 | Value: 0.636 | Reward: 150.82
Episode 11 | Loss: 0.155 | Policy: 0.146 | Value: 0.043 | Reward: 149.82
Episode 12 | Loss: 0.161 | Policy: -0.182 | Value: 0.713 | Reward: 150.82
Episode 13 | Loss: 0.492 | Policy: -0.256 | Value: 1.521 | Reward: 149.82
Episode 14 | Loss: 0.384 | Policy: -0.218 | Value: 1.229 | Reward: 155.88
Episode 15 | Loss: 0.039 | Policy: -0.104 | Value: 0.314 | Reward: 150.82
Episode 16 | Loss: 0.368 | Policy: 0.305 | Value: 0.153 | Reward: 150.57
Episode 17 | Loss: 0.883 | Policy: 0.616 | Value: 0.559 | Reward: 149.82
Episode 18 | Loss: 0.756 | Policy: 0.544 | Value: 0.447 | Reward: 149.82
Episode 19 | Loss: 0.174 | Policy: 0.162 | Value: 0.046 | Reward: 149.07
Episode 20 | Loss: 0.030 | Policy: -0.143 | Value: 0.371 | Reward: 151.57
Episode 21 | Loss: 0.258 | Policy: -0.164 | Value: 0.867 | Reward: 150.32
Episode 22 | Loss: 0.179 | Policy: -0.161 | Value: 0.705 | Reward: 151.32
Episode 23 | Loss: -0.025 | Policy: -0.088 | Value: 0.150 | Reward: 150.57
Episode 24 | Loss: 0.378 | Policy: 0.311 | Value: 0.157 | Reward: 149.94
Episode 25 | Loss: 0.821 | Policy: 0.576 | Value: 0.513 | Reward: 151.07
Episode 26 | Loss: 0.714 | Policy: 0.518 | Value: 0.415 | Reward: 149.69
Episode 27 | Loss: 0.198 | Policy: 0.181 | Value: 0.056 | Reward: 150.19
Episode 28 | Loss: -0.005 | Policy: -0.111 | Value: 0.235 | Reward: 149.44
Episode 29 | Loss: 0.137 | Policy: -0.154 | Value: 0.602 | Reward: 150.44
Episode 30 | Loss: 0.095 | Policy: -0.137 | Value: 0.484 | Reward: 149.57
Episode 31 | Loss: -0.019 | Policy: -0.050 | Value: 0.084 | Reward: 150.32
Episode 32 | Loss: 0.411 | Policy: 0.336 | Value: 0.169 | Reward: 151.07
Episode 33 | Loss: 0.807 | Policy: 0.572 | Value: 0.488 | Reward: 149.69
Episode 34 | Loss: 0.706 | Policy: 0.517 | Value: 0.399 | Reward: 151.44
Episode 35 | Loss: 0.231 | Policy: 0.207 | Value: 0.067 | Reward: 149.44
Episode 36 | Loss: 0.032 | Policy: -0.046 | Value: 0.174 | Reward: 150.69
Episode 37 | Loss: 0.150 | Policy: -0.075 | Value: 0.463 | Reward: 149.69
Episode 38 | Loss: 0.113 | Policy: -0.062 | Value: 0.362 | Reward: 150.94
Episode 39 | Loss: -0.013 | Policy: -0.032 | Value: 0.049 | Reward: 156.00
Episode 40 | Loss: 0.474 | Policy: 0.373 | Value: 0.208 | Reward: 149.19
Episode 41 | Loss: 0.861 | Policy: 0.597 | Value: 0.535 | Reward: 149.94
Episode 42 | Loss: 0.759 | Policy: 0.542 | Value: 0.441 | Reward: 149.94
Episode 43 | Loss: 0.274 | Policy: 0.236 | Value: 0.085 | Reward: 149.69
Episode 44 | Loss: 0.011 | Policy: -0.049 | Value: 0.130 | Reward: 154.88
Episode 45 | Loss: 0.126 | Policy: -0.062 | Value: 0.390 | Reward: 155.88
Episode 46 | Loss: 0.083 | Policy: -0.060 | Value: 0.301 | Reward: 150.69
Episode 47 | Loss: -0.022 | Policy: -0.030 | Value: 0.033 | Reward: 155.75
Episode 48 | Loss: 0.473 | Policy: 0.375 | Value: 0.217 | Reward: 155.01
Episode 49 | Loss: 0.847 | Policy: 0.593 | Value: 0.532 | Reward: 155.76
Episode 50 | Loss: 0.748 | Policy: 0.541 | Value: 0.443 | Reward: 155.26
Episode 51 | Loss: 0.280 | Policy: 0.249 | Value: 0.095 | Reward: 154.51
Episode 52 | Loss: -0.018 | Policy: -0.050 | Value: 0.100 | Reward: 154.63
Episode 53 | Loss: 0.027 | Policy: -0.119 | Value: 0.326 | Reward: 155.88
Episode 54 | Loss: -0.003 | Policy: -0.113 | Value: 0.257 | Reward: 155.26
Episode 55 | Loss: -0.045 | Policy: -0.038 | Value: 0.023 | Reward: 154.76
Episode 56 | Loss: 0.466 | Policy: 0.378 | Value: 0.215 | Reward: 156.38
