Episode 0 | Loss: 34.364 | Policy: -1.286 | Value: 71.321 | Reward: 4904.39
Episode 1 | Loss: 6.452 | Policy: -0.257 | Value: 13.443 | Reward: 4904.49
Episode 2 | Loss: 2.926 | Policy: 1.312 | Value: 3.257 | Reward: 4899.44
Episode 3 | Loss: 6.119 | Policy: 2.258 | Value: 7.749 | Reward: 4904.14
Episode 4 | Loss: 4.347 | Policy: 1.830 | Value: 5.062 | Reward: 4904.06
Episode 5 | Loss: 0.952 | Policy: 0.609 | Value: 0.711 | Reward: 4904.11
Episode 6 | Loss: 0.730 | Policy: -0.251 | Value: 1.987 | Reward: 4904.11
Episode 7 | Loss: 1.688 | Policy: -0.526 | Value: 4.452 | Reward: 4904.04
Episode 8 | Loss: 1.413 | Policy: -0.447 | Value: 3.742 | Reward: 4904.04
Episode 9 | Loss: 0.186 | Policy: -0.399 | Value: 1.192 | Reward: 4904.29
Episode 10 | Loss: 0.256 | Policy: 0.209 | Value: 0.116 | Reward: 4904.24
Episode 11 | Loss: 0.955 | Policy: 0.625 | Value: 0.684 | Reward: 4903.96
Episode 12 | Loss: 0.721 | Policy: 0.502 | Value: 0.464 | Reward: 4904.26
Episode 13 | Loss: -0.026 | Policy: -0.032 | Value: 0.037 | Reward: 4904.06
Episode 14 | Loss: -0.041 | Policy: -0.071 | Value: 0.088 | Reward: 4904.01
Episode 15 | Loss: 0.051 | Policy: 0.056 | Value: 0.016 | Reward: 4904.11
Episode 16 | Loss: 0.226 | Policy: 0.207 | Value: 0.065 | Reward: 4904.09
Episode 17 | Loss: -0.012 | Policy: -0.001 | Value: 0.002 | Reward: 4904.06
Episode 18 | Loss: 0.165 | Policy: 0.156 | Value: 0.042 | Reward: 4903.96
Episode 19 | Loss: -0.033 | Policy: -0.026 | Value: 0.009 | Reward: 4904.09
Episode 20 | Loss: 0.096 | Policy: 0.099 | Value: 0.019 | Reward: 4909.10
Episode 21 | Loss: -0.043 | Policy: -0.040 | Value: 0.021 | Reward: 4903.91
Episode 22 | Loss: 0.031 | Policy: 0.043 | Value: 0.003 | Reward: 4903.94
Episode 23 | Loss: -0.034 | Policy: -0.042 | Value: 0.043 | Reward: 4903.99
Episode 24 | Loss: 0.006 | Policy: 0.019 | Value: 0.002 | Reward: 4904.11
Episode 25 | Loss: 0.129 | Policy: 0.125 | Value: 0.039 | Reward: 4904.04
Episode 26 | Loss: -0.074 | Policy: -0.084 | Value: 0.053 | Reward: 4904.14
Episode 27 | Loss: 0.003 | Policy: -0.009 | Value: 0.055 | Reward: 4904.04
Episode 28 | Loss: 0.091 | Policy: 0.092 | Value: 0.029 | Reward: 4909.18
Episode 29 | Loss: -0.035 | Policy: -0.036 | Value: 0.028 | Reward: 4903.96
Episode 30 | Loss: 0.043 | Policy: 0.046 | Value: 0.020 | Reward: 4904.09
Episode 31 | Loss: 0.346 | Policy: 0.295 | Value: 0.132 | Reward: 4904.34
Episode 32 | Loss: 0.266 | Policy: 0.239 | Value: 0.089 | Reward: 4904.21
Episode 33 | Loss: -0.015 | Policy: -0.016 | Value: 0.038 | Reward: 4909.20
Episode 34 | Loss: -0.047 | Policy: -0.045 | Value: 0.035 | Reward: 4909.33
Episode 35 | Loss: 0.173 | Policy: 0.172 | Value: 0.045 | Reward: 4904.09
Episode 36 | Loss: 0.127 | Policy: 0.136 | Value: 0.031 | Reward: 4908.85
Episode 37 | Loss: -0.124 | Policy: -0.134 | Value: 0.068 | Reward: 4908.83
Episode 38 | Loss: -0.102 | Policy: -0.118 | Value: 0.082 | Reward: 4908.98
Episode 39 | Loss: 0.043 | Policy: 0.060 | Value: 0.017 | Reward: 4909.10
Episode 40 | Loss: -0.006 | Policy: 0.015 | Value: 0.006 | Reward: 4908.93
Episode 41 | Loss: -0.098 | Policy: -0.142 | Value: 0.136 | Reward: 4909.05
Episode 42 | Loss: -0.050 | Policy: -0.087 | Value: 0.120 | Reward: 4909.28
Episode 43 | Loss: 0.080 | Policy: 0.092 | Value: 0.021 | Reward: 4909.38
