Episode 0 | Loss: 0.605 | Policy: 0.399 | Value: 0.419 | Reward: 4908.98
Episode 1 | Loss: 3.122 | Policy: -0.258 | Value: 6.773 | Reward: 4903.91
Episode 2 | Loss: 2.196 | Policy: -0.330 | Value: 5.072 | Reward: 4903.96
Episode 3 | Loss: 0.233 | Policy: -0.188 | Value: 0.870 | Reward: 4909.12
Episode 4 | Loss: 1.080 | Policy: 0.708 | Value: 0.774 | Reward: 4908.90
Episode 5 | Loss: 2.215 | Policy: 1.174 | Value: 2.113 | Reward: 4909.13
Episode 6 | Loss: 1.805 | Policy: 1.016 | Value: 1.609 | Reward: 4909.15
Episode 7 | Loss: 0.596 | Policy: 0.440 | Value: 0.343 | Reward: 4909.25
Episode 8 | Loss: 0.005 | Policy: -0.139 | Value: 0.320 | Reward: 4909.03
Episode 9 | Loss: 0.255 | Policy: -0.203 | Value: 0.951 | Reward: 4908.93
Episode 10 | Loss: 0.109 | Policy: -0.282 | Value: 0.820 | Reward: 4904.29
Episode 11 | Loss: -0.091 | Policy: -0.177 | Value: 0.212 | Reward: 4909.03
Episode 12 | Loss: 0.276 | Policy: 0.249 | Value: 0.100 | Reward: 4909.20
Episode 13 | Loss: 0.623 | Policy: 0.478 | Value: 0.338 | Reward: 4909.17
Episode 14 | Loss: 0.455 | Policy: 0.374 | Value: 0.209 | Reward: 4909.20
Episode 15 | Loss: 0.004 | Policy: 0.025 | Value: 0.005 | Reward: 4909.15
Episode 16 | Loss: -0.088 | Policy: -0.176 | Value: 0.223 | Reward: 4908.93
Episode 17 | Loss: -0.107 | Policy: -0.248 | Value: 0.329 | Reward: 4908.98
Episode 18 | Loss: -0.122 | Policy: -0.164 | Value: 0.131 | Reward: 4909.05
Episode 19 | Loss: 0.124 | Policy: 0.120 | Value: 0.054 | Reward: 4909.08
Episode 20 | Loss: 0.266 | Policy: 0.231 | Value: 0.114 | Reward: 4904.06
Episode 21 | Loss: 0.088 | Policy: 0.092 | Value: 0.035 | Reward: 4903.96
Episode 22 | Loss: -0.078 | Policy: -0.110 | Value: 0.105 | Reward: 4909.33
Episode 23 | Loss: -0.069 | Policy: -0.138 | Value: 0.177 | Reward: 4908.88
Episode 24 | Loss: -0.051 | Policy: -0.060 | Value: 0.059 | Reward: 4909.10
Episode 25 | Loss: 0.160 | Policy: 0.161 | Value: 0.039 | Reward: 4909.15
Episode 26 | Loss: 0.283 | Policy: 0.255 | Value: 0.099 | Reward: 4908.98
Episode 27 | Loss: 0.111 | Policy: 0.119 | Value: 0.027 | Reward: 4909.15
Episode 28 | Loss: -0.029 | Policy: -0.049 | Value: 0.086 | Reward: 4908.95
Episode 29 | Loss: -0.044 | Policy: -0.095 | Value: 0.149 | Reward: 4909.25
Episode 30 | Loss: -0.034 | Policy: -0.034 | Value: 0.046 | Reward: 4909.15
Episode 31 | Loss: 0.183 | Policy: 0.182 | Value: 0.050 | Reward: 4909.05
Episode 32 | Loss: 0.313 | Policy: 0.279 | Value: 0.116 | Reward: 4909.10
Episode 33 | Loss: 0.153 | Policy: 0.156 | Value: 0.037 | Reward: 4909.23
Episode 34 | Loss: -0.074 | Policy: -0.072 | Value: 0.037 | Reward: 4909.08
Episode 35 | Loss: -0.077 | Policy: -0.095 | Value: 0.076 | Reward: 4909.35
Episode 36 | Loss: -0.059 | Policy: -0.043 | Value: 0.011 | Reward: 4908.98
Episode 37 | Loss: 0.279 | Policy: 0.253 | Value: 0.098 | Reward: 4908.98
Episode 38 | Loss: 0.417 | Policy: 0.350 | Value: 0.182 | Reward: 4909.38
Episode 39 | Loss: 0.250 | Policy: 0.232 | Value: 0.084 | Reward: 4909.03
Episode 40 | Loss: -0.060 | Policy: -0.041 | Value: 0.009 | Reward: 4909.08
Episode 41 | Loss: -0.072 | Policy: -0.064 | Value: 0.032 | Reward: 4909.35
Episode 42 | Loss: -0.016 | Policy: 0.007 | Value: 0.001 | Reward: 4909.18
Episode 43 | Loss: 0.161 | Policy: 0.165 | Value: 0.041 | Reward: 4909.05
Episode 44 | Loss: 0.098 | Policy: 0.113 | Value: 0.020 | Reward: 4909.10
Episode 45 | Loss: -0.083 | Policy: -0.070 | Value: 0.026 | Reward: 4909.40
Episode 46 | Loss: -0.078 | Policy: -0.071 | Value: 0.036 | Reward: 4909.40
Episode 47 | Loss: -0.003 | Policy: 0.022 | Value: 0.002 | Reward: 4909.38
Episode 48 | Loss: -0.034 | Policy: -0.009 | Value: 0.001 | Reward: 4909.43
Episode 49 | Loss: 0.100 | Policy: 0.115 | Value: 0.020 | Reward: 4909.15
Episode 50 | Loss: 0.019 | Policy: 0.042 | Value: 0.004 | Reward: 4909.38
Episode 51 | Loss: -0.071 | Policy: -0.085 | Value: 0.077 | Reward: 4909.08
Episode 52 | Loss: -0.077 | Policy: -0.107 | Value: 0.106 | Reward: 4909.15
Episode 53 | Loss: -0.048 | Policy: -0.034 | Value: 0.017 | Reward: 4904.31
Episode 54 | Loss: 0.265 | Policy: 0.243 | Value: 0.087 | Reward: 4909.33
Episode 55 | Loss: 0.429 | Policy: 0.356 | Value: 0.189 | Reward: 4904.16
Episode 56 | Loss: 0.291 | Policy: 0.261 | Value: 0.103 | Reward: 4909.30
Episode 57 | Loss: -0.028 | Policy: -0.008 | Value: 0.001 | Reward: 4904.36
Episode 58 | Loss: -0.046 | Policy: -0.031 | Value: 0.010 | Reward: 4904.21
Episode 59 | Loss: 0.048 | Policy: 0.065 | Value: 0.007 | Reward: 4904.14
Episode 60 | Loss: -0.014 | Policy: 0.006 | Value: 0.001 | Reward: 4909.28
Episode 61 | Loss: -0.025 | Policy: -0.004 | Value: 0.001 | Reward: 4909.30
Episode 62 | Loss: 0.161 | Policy: 0.163 | Value: 0.041 | Reward: 4909.35
Episode 63 | Loss: 0.112 | Policy: 0.123 | Value: 0.024 | Reward: 4904.24
Episode 64 | Loss: -0.061 | Policy: -0.047 | Value: 0.017 | Reward: 4904.46
Episode 65 | Loss: -0.071 | Policy: -0.059 | Value: 0.021 | Reward: 4904.09
Episode 66 | Loss: 0.051 | Policy: 0.070 | Value: 0.008 | Reward: 4904.16
Episode 67 | Loss: 0.021 | Policy: 0.042 | Value: 0.004 | Reward: 4909.18
Episode 68 | Loss: -0.082 | Policy: -0.081 | Value: 0.045 | Reward: 4909.18
Episode 69 | Loss: -0.064 | Policy: -0.063 | Value: 0.045 | Reward: 4904.24
Episode 70 | Loss: 0.006 | Policy: 0.029 | Value: 0.002 | Reward: 4909.33
Episode 71 | Loss: -0.006 | Policy: 0.018 | Value: 0.001 | Reward: 4909.15
Episode 72 | Loss: -0.105 | Policy: -0.103 | Value: 0.047 | Reward: 4904.29
Episode 73 | Loss: -0.082 | Policy: -0.075 | Value: 0.038 | Reward: 4909.23
Episode 74 | Loss: 0.026 | Policy: 0.049 | Value: 0.007 | Reward: 4909.23
Episode 75 | Loss: 0.027 | Policy: 0.050 | Value: 0.006 | Reward: 4909.25
Episode 76 | Loss: -0.076 | Policy: -0.064 | Value: 0.029 | Reward: 4909.13
Episode 77 | Loss: -0.079 | Policy: -0.064 | Value: 0.022 | Reward: 4909.23
Episode 78 | Loss: 0.062 | Policy: 0.083 | Value: 0.011 | Reward: 4909.35
Episode 79 | Loss: 0.053 | Policy: 0.075 | Value: 0.009 | Reward: 4909.25
Episode 80 | Loss: -0.064 | Policy: -0.051 | Value: 0.024 | Reward: 4909.18
Episode 81 | Loss: -0.053 | Policy: -0.036 | Value: 0.018 | Reward: 4909.20
Episode 82 | Loss: 0.085 | Policy: 0.104 | Value: 0.016 | Reward: 4909.18
Episode 83 | Loss: 0.087 | Policy: 0.105 | Value: 0.016 | Reward: 4909.35
Episode 84 | Loss: -0.059 | Policy: -0.038 | Value: 0.011 | Reward: 4909.30
