Episode 0 | Loss: 0.482 | Policy: 0.367 | Value: 0.242 | Reward: 6004.28
Episode 1 | Loss: 6.630 | Policy: -0.690 | Value: 14.650 | Reward: 5999.21
Episode 2 | Loss: 4.744 | Policy: -0.985 | Value: 11.473 | Reward: 6004.25
Episode 3 | Loss: 1.617 | Policy: -0.405 | Value: 4.063 | Reward: 5999.34
Episode 4 | Loss: 0.108 | Policy: 0.102 | Value: 0.035 | Reward: 6004.19
Episode 5 | Loss: 1.108 | Policy: 0.728 | Value: 0.787 | Reward: 6004.24
Episode 6 | Loss: 0.695 | Policy: 0.512 | Value: 0.402 | Reward: 6009.25
Episode 7 | Loss: 0.128 | Policy: 0.078 | Value: 0.137 | Reward: 6004.03
Episode 8 | Loss: 0.036 | Policy: -0.110 | Value: 0.333 | Reward: 6008.95
Episode 9 | Loss: -0.062 | Policy: -0.053 | Value: 0.026 | Reward: 6009.20
Episode 10 | Loss: 0.861 | Policy: 0.602 | Value: 0.561 | Reward: 6009.08
Episode 11 | Loss: 1.247 | Policy: 0.788 | Value: 0.964 | Reward: 6009.28
Episode 12 | Loss: 0.752 | Policy: 0.538 | Value: 0.476 | Reward: 6009.00
Episode 13 | Loss: -0.054 | Policy: -0.048 | Value: 0.038 | Reward: 6008.98
Episode 14 | Loss: -0.111 | Policy: -0.153 | Value: 0.133 | Reward: 6009.55
Episode 15 | Loss: -0.061 | Policy: -0.058 | Value: 0.042 | Reward: 6009.23
Episode 16 | Loss: 0.375 | Policy: 0.317 | Value: 0.162 | Reward: 6009.05
Episode 17 | Loss: 0.498 | Policy: 0.395 | Value: 0.249 | Reward: 6009.03
Episode 18 | Loss: 0.166 | Policy: 0.153 | Value: 0.067 | Reward: 6004.04
Episode 19 | Loss: -0.037 | Policy: -0.144 | Value: 0.256 | Reward: 6009.28
Episode 20 | Loss: -0.072 | Policy: -0.255 | Value: 0.406 | Reward: 6009.18
Episode 21 | Loss: -0.078 | Policy: -0.132 | Value: 0.149 | Reward: 6004.19
Episode 22 | Loss: 0.169 | Policy: 0.167 | Value: 0.045 | Reward: 6004.06
Episode 23 | Loss: 0.337 | Policy: 0.288 | Value: 0.137 | Reward: 6004.14
Episode 24 | Loss: 0.106 | Policy: 0.109 | Value: 0.034 | Reward: 6003.96
Episode 25 | Loss: -0.101 | Policy: -0.167 | Value: 0.171 | Reward: 6004.39
Episode 26 | Loss: -0.110 | Policy: -0.238 | Value: 0.294 | Reward: 6004.19
Episode 27 | Loss: -0.103 | Policy: -0.135 | Value: 0.103 | Reward: 6003.91
Episode 28 | Loss: 0.188 | Policy: 0.183 | Value: 0.050 | Reward: 6004.14
Episode 29 | Loss: 0.341 | Policy: 0.297 | Value: 0.129 | Reward: 6004.06
Episode 30 | Loss: 0.125 | Policy: 0.131 | Value: 0.026 | Reward: 6004.19
Episode 31 | Loss: -0.062 | Policy: -0.107 | Value: 0.129 | Reward: 6004.06
Episode 32 | Loss: -0.098 | Policy: -0.192 | Value: 0.227 | Reward: 6004.16
Episode 33 | Loss: -0.043 | Policy: -0.056 | Value: 0.065 | Reward: 6004.34
Episode 34 | Loss: 0.247 | Policy: 0.228 | Value: 0.077 | Reward: 6004.16
Episode 35 | Loss: 0.414 | Policy: 0.344 | Value: 0.176 | Reward: 6004.11
Episode 36 | Loss: 0.202 | Policy: 0.193 | Value: 0.054 | Reward: 6004.14
Episode 37 | Loss: -0.071 | Policy: -0.085 | Value: 0.067 | Reward: 6004.24
Episode 38 | Loss: -0.076 | Policy: -0.129 | Value: 0.144 | Reward: 6004.24
Episode 39 | Loss: -0.076 | Policy: -0.073 | Value: 0.030 | Reward: 6004.39
Episode 40 | Loss: 0.306 | Policy: 0.269 | Value: 0.111 | Reward: 6004.11
Episode 41 | Loss: 0.462 | Policy: 0.374 | Value: 0.212 | Reward: 6004.29
Episode 42 | Loss: 0.235 | Policy: 0.219 | Value: 0.068 | Reward: 6004.26
Episode 43 | Loss: -0.072 | Policy: -0.081 | Value: 0.054 | Reward: 6004.24
Episode 44 | Loss: -0.075 | Policy: -0.121 | Value: 0.129 | Reward: 6004.29
Episode 45 | Loss: -0.058 | Policy: -0.054 | Value: 0.027 | Reward: 6004.11
Episode 46 | Loss: 0.304 | Policy: 0.269 | Value: 0.106 | Reward: 6004.56
