Episode 0 | Loss: 0.409 | Policy: -0.298 | Value: 1.443 | Reward: -1700.39
Episode 1 | Loss: 9.821 | Policy: 3.156 | Value: 13.353 | Reward: -1760.29
Episode 2 | Loss: 8.038 | Policy: 2.899 | Value: 10.305 | Reward: -1830.31
Episode 3 | Loss: 2.562 | Policy: 1.363 | Value: 2.426 | Reward: -1830.29
Episode 4 | Loss: -0.262 | Policy: -0.713 | Value: 0.921 | Reward: -1830.29
Episode 5 | Loss: 0.435 | Policy: -0.195 | Value: 1.271 | Reward: -1700.29
Episode 6 | Loss: 0.186 | Policy: -0.065 | Value: 0.510 | Reward: -1700.29
Episode 7 | Loss: 0.762 | Policy: 0.543 | Value: 0.443 | Reward: -1700.29
Episode 8 | Loss: 1.130 | Policy: 0.731 | Value: 0.800 | Reward: -1700.29
Episode 9 | Loss: 0.437 | Policy: 0.334 | Value: 0.209 | Reward: -1700.26
Episode 10 | Loss: -0.025 | Policy: -0.092 | Value: 0.135 | Reward: -1650.26
Episode 11 | Loss: -0.051 | Policy: -0.122 | Value: 0.142 | Reward: -1610.34
Episode 12 | Loss: -0.064 | Policy: -0.105 | Value: 0.081 | Reward: -1650.29
Episode 13 | Loss: 0.717 | Policy: 0.506 | Value: 0.422 | Reward: -1650.34
Episode 14 | Loss: 1.040 | Policy: 0.677 | Value: 0.726 | Reward: -1650.34
Episode 15 | Loss: 1.090 | Policy: 0.674 | Value: 0.833 | Reward: -1610.29
Episode 16 | Loss: 0.291 | Policy: -0.289 | Value: 1.161 | Reward: -1760.29
Episode 17 | Loss: -0.016 | Policy: -0.162 | Value: 0.293 | Reward: -1650.34
Episode 18 | Loss: -0.063 | Policy: -0.099 | Value: 0.072 | Reward: -1650.36
Episode 19 | Loss: 0.197 | Policy: 0.165 | Value: 0.063 | Reward: -1700.29
Episode 20 | Loss: 0.371 | Policy: 0.295 | Value: 0.153 | Reward: -1700.29
Episode 21 | Loss: 0.850 | Policy: 0.572 | Value: 0.557 | Reward: -1610.36
Episode 22 | Loss: 0.251 | Policy: -0.238 | Value: 0.977 | Reward: -1760.34
Episode 23 | Loss: 0.133 | Policy: -0.181 | Value: 0.629 | Reward: -1700.31
Episode 24 | Loss: -0.042 | Policy: -0.069 | Value: 0.056 | Reward: -1650.26
Episode 25 | Loss: 0.216 | Policy: 0.179 | Value: 0.075 | Reward: -1700.26
Episode 26 | Loss: 0.741 | Policy: 0.528 | Value: 0.425 | Reward: -1650.31
Episode 27 | Loss: 0.143 | Policy: 0.118 | Value: 0.050 | Reward: -1700.34
Episode 28 | Loss: -0.050 | Policy: -0.086 | Value: 0.073 | Reward: -1650.26
Episode 29 | Loss: 0.330 | Policy: -0.281 | Value: 1.222 | Reward: -1760.26
Episode 30 | Loss: -0.000 | Policy: -0.122 | Value: 0.243 | Reward: -1700.29
Episode 31 | Loss: 0.164 | Policy: 0.140 | Value: 0.048 | Reward: -1700.34
Episode 32 | Loss: 0.329 | Policy: 0.268 | Value: 0.123 | Reward: -1700.34
Episode 33 | Loss: 0.468 | Policy: 0.352 | Value: 0.232 | Reward: -1650.34
Episode 34 | Loss: 0.208 | Policy: 0.129 | Value: 0.158 | Reward: -1610.26
Episode 35 | Loss: 1.226 | Policy: -0.380 | Value: 3.212 | Reward: -1210.37
Episode 36 | Loss: 1.846 | Policy: -0.665 | Value: 5.022 | Reward: -1760.39
Episode 37 | Loss: 0.809 | Policy: -0.343 | Value: 2.304 | Reward: -1650.34
Episode 38 | Loss: 0.377 | Policy: -0.257 | Value: 1.269 | Reward: -1650.26
Episode 39 | Loss: 0.339 | Policy: -0.252 | Value: 1.183 | Reward: -1760.26
Episode 40 | Loss: 0.349 | Policy: 0.277 | Value: 0.145 | Reward: -1700.29
Episode 41 | Loss: 1.125 | Policy: 0.735 | Value: 0.781 | Reward: -1700.34
Episode 42 | Loss: 0.857 | Policy: 0.582 | Value: 0.551 | Reward: -1760.34
Episode 43 | Loss: 0.850 | Policy: 0.590 | Value: 0.520 | Reward: -1700.34
