Episode 0 | Loss: 4.298 | Policy: 1.757 | Value: 5.110 | Reward: -90.03
Episode 1 | Loss: 0.532 | Policy: -1.501 | Value: 4.098 | Reward: -90.03
Episode 2 | Loss: 0.170 | Policy: -1.527 | Value: 3.427 | Reward: -70.03
Episode 3 | Loss: -0.064 | Policy: -0.549 | Value: 1.003 | Reward: -50.03
Episode 4 | Loss: 1.500 | Policy: 0.798 | Value: 1.428 | Reward: -60.04
Episode 5 | Loss: 1.988 | Policy: 1.019 | Value: 1.953 | Reward: -60.04
Episode 6 | Loss: 0.976 | Policy: 0.553 | Value: 0.857 | Reward: -60.03
Episode 7 | Loss: -0.087 | Policy: -0.371 | Value: 0.576 | Reward: -50.03
Episode 8 | Loss: 0.045 | Policy: -0.436 | Value: 0.971 | Reward: -50.03
Episode 9 | Loss: -0.148 | Policy: -0.339 | Value: 0.389 | Reward: -60.03
Episode 10 | Loss: 0.544 | Policy: 0.327 | Value: 0.438 | Reward: -60.03
Episode 11 | Loss: 0.768 | Policy: 0.479 | Value: 0.582 | Reward: -60.03
Episode 12 | Loss: 0.046 | Policy: -0.012 | Value: 0.121 | Reward: -50.03
Episode 13 | Loss: -0.055 | Policy: -0.250 | Value: 0.392 | Reward: -50.03
Episode 14 | Loss: -0.132 | Policy: -0.216 | Value: 0.171 | Reward: -60.03
Episode 15 | Loss: -0.024 | Policy: -0.101 | Value: 0.155 | Reward: -50.03
Episode 16 | Loss: 0.479 | Policy: 0.352 | Value: 0.255 | Reward: -50.03
Episode 17 | Loss: 1.572 | Policy: 0.939 | Value: 1.267 | Reward: -60.03
Episode 18 | Loss: 0.551 | Policy: 0.393 | Value: 0.318 | Reward: -50.03
Episode 19 | Loss: 0.146 | Policy: 0.074 | Value: 0.145 | Reward: -50.03
Episode 20 | Loss: 0.130 | Policy: 0.036 | Value: 0.190 | Reward: -50.03
Episode 21 | Loss: 0.198 | Policy: 0.135 | Value: 0.128 | Reward: -50.03
Episode 22 | Loss: 0.520 | Policy: 0.391 | Value: 0.260 | Reward: -60.03
Episode 23 | Loss: 0.007 | Policy: -0.100 | Value: 0.216 | Reward: -50.03
Episode 24 | Loss: 0.044 | Policy: 0.019 | Value: 0.052 | Reward: -60.03
Episode 25 | Loss: -0.122 | Policy: -0.196 | Value: 0.150 | Reward: -60.03
Episode 26 | Loss: 0.033 | Policy: -0.212 | Value: 0.492 | Reward: -50.03
Episode 27 | Loss: -0.055 | Policy: -0.121 | Value: 0.134 | Reward: -50.03
Episode 28 | Loss: 0.898 | Policy: 0.602 | Value: 0.593 | Reward: -60.03
Episode 29 | Loss: 0.736 | Policy: 0.517 | Value: 0.441 | Reward: -50.03
Episode 30 | Loss: 0.597 | Policy: 0.431 | Value: 0.333 | Reward: -50.03
Episode 31 | Loss: 0.115 | Policy: 0.078 | Value: 0.076 | Reward: -50.03
Episode 32 | Loss: -0.047 | Policy: -0.232 | Value: 0.371 | Reward: -50.03
Episode 33 | Loss: -0.134 | Policy: -0.309 | Value: 0.353 | Reward: -60.03
Episode 34 | Loss: 0.051 | Policy: -0.286 | Value: 0.675 | Reward: -50.03
Episode 35 | Loss: -0.070 | Policy: -0.119 | Value: 0.099 | Reward: -60.03
Episode 36 | Loss: 0.204 | Policy: 0.158 | Value: 0.094 | Reward: -50.03
Episode 37 | Loss: 0.153 | Policy: 0.124 | Value: 0.060 | Reward: -40.03
Episode 38 | Loss: 0.876 | Policy: 0.588 | Value: 0.579 | Reward: -60.03
Episode 39 | Loss: 0.348 | Policy: 0.260 | Value: 0.179 | Reward: -60.03
Episode 40 | Loss: -0.142 | Policy: -0.226 | Value: 0.170 | Reward: -60.04
Episode 41 | Loss: -0.103 | Policy: -0.311 | Value: 0.418 | Reward: -60.03
Episode 42 | Loss: 0.139 | Policy: -0.280 | Value: 0.841 | Reward: -50.03
Episode 43 | Loss: -0.024 | Policy: -0.185 | Value: 0.324 | Reward: -50.03
Episode 44 | Loss: 0.107 | Policy: 0.084 | Value: 0.047 | Reward: -50.03
