Episode 0 | Loss: 11.467 | Policy: 3.351 | Value: 16.240 | Reward: -60.04
Episode 1 | Loss: 0.402 | Policy: 0.111 | Value: 0.597 | Reward: -50.03
Episode 2 | Loss: 3.733 | Policy: -1.482 | Value: 10.440 | Reward: -60.03
Episode 3 | Loss: 7.459 | Policy: -1.155 | Value: 17.237 | Reward: -40.04
Episode 4 | Loss: 5.762 | Policy: -0.994 | Value: 13.519 | Reward: 39.96
Episode 5 | Loss: 1.409 | Policy: -1.020 | Value: 4.863 | Reward: -60.04
Episode 6 | Loss: -0.049 | Policy: -0.383 | Value: 0.674 | Reward: -50.03
Episode 7 | Loss: 2.558 | Policy: 1.265 | Value: 2.590 | Reward: -60.03
Episode 8 | Loss: 4.608 | Policy: 1.899 | Value: 5.424 | Reward: -50.04
Episode 9 | Loss: 6.261 | Policy: 2.336 | Value: 7.854 | Reward: -60.03
Episode 10 | Loss: 4.549 | Policy: 1.885 | Value: 5.334 | Reward: -50.03
Episode 11 | Loss: 3.244 | Policy: 1.502 | Value: 3.489 | Reward: -60.03
Episode 12 | Loss: 1.086 | Policy: 0.634 | Value: 0.909 | Reward: -60.03
Episode 13 | Loss: -0.064 | Policy: -0.390 | Value: 0.662 | Reward: -50.04
Episode 14 | Loss: 0.723 | Policy: -0.541 | Value: 2.543 | Reward: -40.04
Episode 15 | Loss: 0.579 | Policy: -0.694 | Value: 2.560 | Reward: -50.04
Episode 16 | Loss: 0.348 | Policy: -0.656 | Value: 2.025 | Reward: -50.04
Episode 17 | Loss: -0.183 | Policy: -0.524 | Value: 0.700 | Reward: -60.03
Episode 18 | Loss: 0.033 | Policy: -0.075 | Value: 0.234 | Reward: -50.04
Episode 19 | Loss: 1.054 | Policy: 0.648 | Value: 0.825 | Reward: -50.03
Episode 20 | Loss: 1.809 | Policy: 1.005 | Value: 1.617 | Reward: -50.04
Episode 21 | Loss: 1.907 | Policy: 1.054 | Value: 1.714 | Reward: -50.04
Episode 22 | Loss: 1.975 | Policy: 1.080 | Value: 1.793 | Reward: -60.04
Episode 23 | Loss: 0.441 | Policy: 0.322 | Value: 0.243 | Reward: -50.04
Episode 24 | Loss: -0.072 | Policy: -0.134 | Value: 0.126 | Reward: -60.03
Episode 25 | Loss: -0.129 | Policy: -0.322 | Value: 0.387 | Reward: -60.04
Episode 26 | Loss: -0.197 | Policy: -0.408 | Value: 0.423 | Reward: -60.03
Episode 27 | Loss: -0.129 | Policy: -0.233 | Value: 0.210 | Reward: -60.03
Episode 28 | Loss: 0.117 | Policy: 0.083 | Value: 0.072 | Reward: -60.03
Episode 29 | Loss: 0.242 | Policy: 0.189 | Value: 0.110 | Reward: -60.03
Episode 30 | Loss: 0.061 | Policy: 0.037 | Value: 0.052 | Reward: -60.03
Episode 31 | Loss: -0.085 | Policy: -0.218 | Value: 0.272 | Reward: -60.03
Episode 32 | Loss: -0.056 | Policy: -0.260 | Value: 0.415 | Reward: -60.03
Episode 33 | Loss: -0.075 | Policy: -0.181 | Value: 0.221 | Reward: -60.03
Episode 34 | Loss: 0.066 | Policy: -0.097 | Value: 0.339 | Reward: -50.04
Episode 35 | Loss: 1.043 | Policy: 0.696 | Value: 0.705 | Reward: -60.03
