Episode 0 | Loss: 3.460 | Policy: -1.602 | Value: 10.158 | Reward: -40.03
Episode 1 | Loss: 0.595 | Policy: 0.068 | Value: 1.079 | Reward: -50.03
Episode 2 | Loss: 1.360 | Policy: 0.653 | Value: 1.422 | Reward: -40.03
Episode 3 | Loss: 0.212 | Policy: 0.011 | Value: 0.405 | Reward: -40.04
Episode 4 | Loss: 0.132 | Policy: -0.323 | Value: 0.912 | Reward: -40.03
Episode 5 | Loss: 0.093 | Policy: -0.244 | Value: 0.676 | Reward: -40.03
Episode 6 | Loss: 0.328 | Policy: 0.248 | Value: 0.160 | Reward: -50.03
Episode 7 | Loss: 0.363 | Policy: 0.276 | Value: 0.175 | Reward: -50.03
Episode 8 | Loss: -0.009 | Policy: -0.069 | Value: 0.120 | Reward: -50.03
Episode 9 | Loss: 0.152 | Policy: -0.087 | Value: 0.479 | Reward: -40.03
Episode 10 | Loss: 0.439 | Policy: 0.324 | Value: 0.230 | Reward: -50.03
Episode 11 | Loss: 1.044 | Policy: 0.689 | Value: 0.710 | Reward: -60.04
Episode 12 | Loss: 0.185 | Policy: -0.051 | Value: 0.474 | Reward: -40.03
Episode 13 | Loss: 0.168 | Policy: -0.052 | Value: 0.440 | Reward: -40.03
Episode 14 | Loss: 0.349 | Policy: 0.266 | Value: 0.167 | Reward: -50.04
Episode 15 | Loss: 0.131 | Policy: 0.059 | Value: 0.143 | Reward: -40.03
Episode 16 | Loss: 1.265 | Policy: 0.795 | Value: 0.941 | Reward: -60.03
Episode 17 | Loss: 0.484 | Policy: 0.361 | Value: 0.246 | Reward: -50.04
Episode 18 | Loss: 0.026 | Policy: -0.002 | Value: 0.057 | Reward: -50.04
Episode 19 | Loss: -0.046 | Policy: -0.082 | Value: 0.072 | Reward: -50.04
Episode 20 | Loss: 0.475 | Policy: 0.346 | Value: 0.257 | Reward: -60.03
Episode 21 | Loss: 0.309 | Policy: 0.231 | Value: 0.157 | Reward: -60.04
Episode 22 | Loss: 0.168 | Policy: -0.188 | Value: 0.712 | Reward: -40.03
Episode 23 | Loss: -0.117 | Policy: -0.179 | Value: 0.123 | Reward: -60.04
Episode 24 | Loss: -0.070 | Policy: -0.138 | Value: 0.135 | Reward: -50.04
Episode 25 | Loss: 0.265 | Policy: 0.209 | Value: 0.111 | Reward: -50.03
Episode 26 | Loss: 1.041 | Policy: 0.683 | Value: 0.718 | Reward: -60.04
Episode 27 | Loss: 0.305 | Policy: 0.240 | Value: 0.129 | Reward: -50.04
Episode 28 | Loss: 0.200 | Policy: 0.151 | Value: 0.100 | Reward: -60.03
Episode 29 | Loss: 0.125 | Policy: -0.279 | Value: 0.809 | Reward: -50.03
Episode 30 | Loss: 0.844 | Policy: -0.324 | Value: 2.336 | Reward: -40.03
Episode 31 | Loss: 0.819 | Policy: -0.321 | Value: 2.279 | Reward: -40.05
Episode 32 | Loss: 0.116 | Policy: -0.277 | Value: 0.786 | Reward: -50.04
Episode 33 | Loss: 0.078 | Policy: 0.046 | Value: 0.062 | Reward: -60.04
Episode 34 | Loss: -0.006 | Policy: -0.084 | Value: 0.155 | Reward: -40.03
Episode 35 | Loss: 1.069 | Policy: 0.699 | Value: 0.740 | Reward: -60.04
Episode 36 | Loss: 1.338 | Policy: 0.831 | Value: 1.014 | Reward: -60.03
Episode 37 | Loss: 1.039 | Policy: 0.683 | Value: 0.712 | Reward: -60.03
Episode 38 | Loss: -0.028 | Policy: -0.080 | Value: 0.103 | Reward: -40.03
Episode 39 | Loss: -0.026 | Policy: -0.107 | Value: 0.163 | Reward: -40.03
Episode 40 | Loss: -0.030 | Policy: -0.054 | Value: 0.048 | Reward: -40.03
Episode 41 | Loss: 0.328 | Policy: 0.265 | Value: 0.126 | Reward: -40.03
Episode 42 | Loss: 1.446 | Policy: 0.874 | Value: 1.143 | Reward: -60.03
Episode 43 | Loss: 1.125 | Policy: 0.719 | Value: 0.813 | Reward: -60.03
Episode 44 | Loss: 0.430 | Policy: 0.313 | Value: 0.234 | Reward: -60.04
Episode 45 | Loss: -0.151 | Policy: -0.246 | Value: 0.190 | Reward: -60.04
Episode 46 | Loss: 0.377 | Policy: -0.302 | Value: 1.358 | Reward: -40.03
Episode 47 | Loss: 0.117 | Policy: -0.337 | Value: 0.909 | Reward: -50.04
Episode 48 | Loss: 0.141 | Policy: -0.245 | Value: 0.772 | Reward: -40.03
Episode 49 | Loss: -0.055 | Policy: -0.087 | Value: 0.064 | Reward: -50.03
Episode 50 | Loss: 0.255 | Policy: 0.212 | Value: 0.085 | Reward: -30.03
Episode 51 | Loss: 2.225 | Policy: 1.197 | Value: 2.055 | Reward: -60.03
Episode 52 | Loss: 1.255 | Policy: 0.791 | Value: 0.928 | Reward: -40.03
Episode 53 | Loss: 1.334 | Policy: 0.826 | Value: 1.015 | Reward: -50.04
Episode 54 | Loss: 0.241 | Policy: 0.201 | Value: 0.080 | Reward: -40.04
Episode 55 | Loss: -0.012 | Policy: -0.132 | Value: 0.240 | Reward: -40.03
Episode 56 | Loss: -0.131 | Policy: -0.193 | Value: 0.124 | Reward: -60.03
Episode 57 | Loss: -0.129 | Policy: -0.195 | Value: 0.132 | Reward: -60.03
Episode 58 | Loss: -0.067 | Policy: -0.137 | Value: 0.139 | Reward: -50.03
Episode 59 | Loss: 0.615 | Policy: 0.448 | Value: 0.333 | Reward: -60.03
Episode 60 | Loss: 0.894 | Policy: 0.611 | Value: 0.566 | Reward: -60.03
Episode 61 | Loss: 0.247 | Policy: 0.202 | Value: 0.090 | Reward: -50.03
Episode 62 | Loss: -0.022 | Policy: -0.049 | Value: 0.054 | Reward: -50.03
Episode 63 | Loss: -0.042 | Policy: -0.083 | Value: 0.081 | Reward: -50.03
Episode 64 | Loss: 0.032 | Policy: 0.018 | Value: 0.029 | Reward: -50.04
Episode 65 | Loss: 0.130 | Policy: 0.109 | Value: 0.042 | Reward: -40.03
Episode 66 | Loss: 0.601 | Policy: 0.446 | Value: 0.309 | Reward: -50.03
Episode 67 | Loss: 0.367 | Policy: 0.292 | Value: 0.150 | Reward: -50.03
Episode 68 | Loss: -0.035 | Policy: -0.102 | Value: 0.135 | Reward: -40.03
Episode 69 | Loss: 0.099 | Policy: 0.065 | Value: 0.068 | Reward: -60.03
Episode 70 | Loss: -0.044 | Policy: -0.224 | Value: 0.360 | Reward: -50.04
Episode 71 | Loss: 0.159 | Policy: -0.227 | Value: 0.772 | Reward: -40.04
Episode 72 | Loss: 0.030 | Policy: -0.182 | Value: 0.425 | Reward: -40.04
Episode 73 | Loss: 0.085 | Policy: 0.059 | Value: 0.051 | Reward: -50.03
Episode 74 | Loss: 0.268 | Policy: 0.214 | Value: 0.108 | Reward: -50.03
Episode 75 | Loss: 0.117 | Policy: 0.090 | Value: 0.054 | Reward: -50.04
Episode 76 | Loss: 0.021 | Policy: -0.009 | Value: 0.059 | Reward: -60.04
