Episode 0 | Loss: 2.487 | Policy: 0.925 | Value: 3.147 | Reward: -50.03
Episode 1 | Loss: 1.752 | Policy: -0.885 | Value: 5.284 | Reward: -40.03
Episode 2 | Loss: 1.316 | Policy: -0.746 | Value: 4.132 | Reward: -40.03
Episode 3 | Loss: 0.483 | Policy: -0.177 | Value: 1.325 | Reward: -40.04
Episode 4 | Loss: 2.339 | Policy: 1.068 | Value: 2.544 | Reward: -50.03
Episode 5 | Loss: 3.680 | Policy: 1.591 | Value: 4.181 | Reward: -60.03
Episode 6 | Loss: 2.815 | Policy: 1.309 | Value: 3.013 | Reward: -50.03
Episode 7 | Loss: 1.002 | Policy: 0.556 | Value: 0.894 | Reward: -40.03
Episode 8 | Loss: -0.060 | Policy: -0.300 | Value: 0.481 | Reward: -50.03
Episode 9 | Loss: -0.078 | Policy: -0.492 | Value: 0.828 | Reward: -60.03
Episode 10 | Loss: 0.056 | Policy: -0.395 | Value: 0.903 | Reward: -50.03
Episode 11 | Loss: -0.038 | Policy: -0.228 | Value: 0.381 | Reward: -40.03
Episode 12 | Loss: 0.593 | Policy: 0.414 | Value: 0.359 | Reward: -50.03
Episode 13 | Loss: 1.098 | Policy: 0.703 | Value: 0.791 | Reward: -50.03
Episode 14 | Loss: 0.529 | Policy: 0.397 | Value: 0.265 | Reward: -40.03
Episode 15 | Loss: 0.250 | Policy: 0.198 | Value: 0.106 | Reward: -50.03
Episode 16 | Loss: -0.031 | Policy: -0.206 | Value: 0.351 | Reward: -50.03
Episode 17 | Loss: 0.431 | Policy: -0.261 | Value: 1.387 | Reward: -40.03
Episode 18 | Loss: -0.111 | Policy: -0.246 | Value: 0.270 | Reward: -60.03
Episode 19 | Loss: -0.027 | Policy: -0.129 | Value: 0.204 | Reward: -50.03
Episode 20 | Loss: 0.118 | Policy: 0.085 | Value: 0.066 | Reward: -40.03
Episode 21 | Loss: 1.383 | Policy: 0.854 | Value: 1.060 | Reward: -50.03
Episode 22 | Loss: 1.341 | Policy: 0.833 | Value: 1.020 | Reward: -40.03
Episode 23 | Loss: 1.790 | Policy: 1.028 | Value: 1.527 | Reward: -50.03
