Episode 0 | Loss: 17.584 | Policy: 4.211 | Value: 26.775 | Reward: 49.95
Episode 1 | Loss: 3.664 | Policy: 1.629 | Value: 4.083 | Reward: -70.03
Episode 2 | Loss: -0.066 | Policy: -0.933 | Value: 1.746 | Reward: -70.03
Episode 3 | Loss: 0.507 | Policy: -1.247 | Value: 3.517 | Reward: -70.03
Episode 4 | Loss: 0.368 | Policy: -0.814 | Value: 2.369 | Reward: -60.03
Episode 5 | Loss: 0.006 | Policy: -0.340 | Value: 0.697 | Reward: -60.03
Episode 6 | Loss: 1.724 | Policy: 0.905 | Value: 1.640 | Reward: -70.03
Episode 7 | Loss: 2.940 | Policy: 1.394 | Value: 3.094 | Reward: -70.03
Episode 8 | Loss: 2.801 | Policy: 1.349 | Value: 2.905 | Reward: -70.03
Episode 9 | Loss: 1.686 | Policy: 0.903 | Value: 1.567 | Reward: -70.03
Episode 10 | Loss: 0.261 | Policy: 0.038 | Value: 0.447 | Reward: -60.03
Episode 11 | Loss: -0.191 | Policy: -0.715 | Value: 1.047 | Reward: -70.03
Episode 12 | Loss: 0.122 | Policy: -0.970 | Value: 2.185 | Reward: -70.03
Episode 13 | Loss: 0.205 | Policy: -1.007 | Value: 2.426 | Reward: -70.03
Episode 14 | Loss: -0.018 | Policy: -0.863 | Value: 1.691 | Reward: -70.03
Episode 15 | Loss: -0.244 | Policy: -0.568 | Value: 0.647 | Reward: -70.03
Episode 16 | Loss: 0.298 | Policy: 0.142 | Value: 0.313 | Reward: -70.03
Episode 17 | Loss: 0.810 | Policy: 0.502 | Value: 0.616 | Reward: -70.03
Episode 18 | Loss: 0.849 | Policy: 0.532 | Value: 0.635 | Reward: -70.03
Episode 19 | Loss: 0.445 | Policy: 0.279 | Value: 0.332 | Reward: -70.03
Episode 20 | Loss: -0.107 | Policy: -0.216 | Value: 0.218 | Reward: -70.03
Episode 21 | Loss: -0.237 | Policy: -0.396 | Value: 0.319 | Reward: -70.03
Episode 22 | Loss: -0.180 | Policy: -0.294 | Value: 0.228 | Reward: -70.03
Episode 23 | Loss: 0.127 | Policy: 0.056 | Value: 0.144 | Reward: -70.03
Episode 24 | Loss: -0.103 | Policy: -0.171 | Value: 0.138 | Reward: -60.03
Episode 25 | Loss: 0.586 | Policy: 0.412 | Value: 0.347 | Reward: -70.03
Episode 26 | Loss: 0.600 | Policy: 0.427 | Value: 0.346 | Reward: -70.03
Episode 27 | Loss: 0.248 | Policy: 0.183 | Value: 0.130 | Reward: -70.03
Episode 28 | Loss: -0.198 | Policy: -0.273 | Value: 0.150 | Reward: -70.03
Episode 29 | Loss: -0.214 | Policy: -0.364 | Value: 0.299 | Reward: -70.03
Episode 30 | Loss: -0.205 | Policy: -0.305 | Value: 0.201 | Reward: -70.03
