Episode 0 | Loss: 0.725 | Policy: 0.338 | Value: 0.804 | Reward: -60.04
Episode 1 | Loss: 4.022 | Policy: -1.280 | Value: 10.632 | Reward: 49.95
Episode 2 | Loss: 2.231 | Policy: -1.799 | Value: 8.078 | Reward: -50.04
Episode 3 | Loss: 0.453 | Policy: -0.716 | Value: 2.350 | Reward: -50.03
Episode 4 | Loss: 1.857 | Policy: 0.785 | Value: 2.153 | Reward: -50.03
Episode 5 | Loss: 3.013 | Policy: 1.270 | Value: 3.498 | Reward: -50.03
Episode 6 | Loss: 2.043 | Policy: 1.036 | Value: 2.029 | Reward: -60.03
Episode 7 | Loss: 0.399 | Policy: 0.090 | Value: 0.639 | Reward: -50.03
Episode 8 | Loss: -0.128 | Policy: -0.863 | Value: 1.492 | Reward: -50.03
Episode 9 | Loss: 0.050 | Policy: -1.106 | Value: 2.338 | Reward: -60.03
Episode 10 | Loss: 0.394 | Policy: -0.902 | Value: 2.615 | Reward: -50.03
Episode 11 | Loss: -0.020 | Policy: -0.617 | Value: 1.214 | Reward: -50.03
Episode 12 | Loss: -0.094 | Policy: -0.147 | Value: 0.123 | Reward: -50.03
Episode 13 | Loss: 1.694 | Policy: 0.964 | Value: 1.480 | Reward: -60.03
Episode 14 | Loss: 2.709 | Policy: 1.356 | Value: 2.726 | Reward: -60.03
Episode 15 | Loss: 1.909 | Policy: 1.061 | Value: 1.713 | Reward: -50.03
Episode 16 | Loss: 1.132 | Policy: 0.736 | Value: 0.810 | Reward: -50.03
Episode 17 | Loss: 1.039 | Policy: 0.668 | Value: 0.762 | Reward: -70.03
Episode 18 | Loss: -0.234 | Policy: -0.428 | Value: 0.403 | Reward: -60.03
Episode 19 | Loss: -0.126 | Policy: -0.757 | Value: 1.280 | Reward: -60.03
Episode 20 | Loss: -0.280 | Policy: -0.692 | Value: 0.844 | Reward: -70.03
Episode 21 | Loss: -0.048 | Policy: -0.603 | Value: 1.130 | Reward: -60.03
Episode 22 | Loss: -0.089 | Policy: -0.137 | Value: 0.117 | Reward: -70.03
Episode 23 | Loss: -0.040 | Policy: -0.097 | Value: 0.129 | Reward: -50.03
Episode 24 | Loss: 0.816 | Policy: 0.577 | Value: 0.489 | Reward: -50.03
Episode 25 | Loss: 2.475 | Policy: 1.295 | Value: 2.368 | Reward: -60.03
Episode 26 | Loss: 3.910 | Policy: 1.801 | Value: 4.226 | Reward: -70.03
Episode 27 | Loss: 2.139 | Policy: 1.171 | Value: 1.940 | Reward: -60.03
Episode 28 | Loss: 1.112 | Policy: 0.724 | Value: 0.780 | Reward: -60.03
Episode 29 | Loss: 0.629 | Policy: 0.456 | Value: 0.349 | Reward: -70.03
Episode 30 | Loss: -0.219 | Policy: -0.353 | Value: 0.270 | Reward: -70.03
Episode 31 | Loss: -0.077 | Policy: -0.641 | Value: 1.130 | Reward: -70.03
Episode 32 | Loss: 0.056 | Policy: -0.742 | Value: 1.598 | Reward: -70.03
Episode 33 | Loss: 0.672 | Policy: -0.594 | Value: 2.534 | Reward: -60.03
Episode 34 | Loss: -0.188 | Policy: -0.492 | Value: 0.609 | Reward: -70.03
Episode 35 | Loss: -0.067 | Policy: -0.255 | Value: 0.377 | Reward: -60.03
