Episode 0 | Loss: 28.388 | Policy: -1.803 | Value: 60.390 | Reward: 39.96
Episode 1 | Loss: 6.447 | Policy: -1.068 | Value: 15.034 | Reward: -40.04
Episode 2 | Loss: 0.486 | Policy: -0.009 | Value: 0.993 | Reward: -40.03
Episode 3 | Loss: 3.903 | Policy: 1.629 | Value: 4.550 | Reward: -50.03
Episode 4 | Loss: 4.451 | Policy: 1.808 | Value: 5.286 | Reward: -40.03
Episode 5 | Loss: 2.734 | Policy: 1.321 | Value: 2.830 | Reward: -50.03
Episode 6 | Loss: 0.198 | Policy: 0.117 | Value: 0.169 | Reward: -40.04
Episode 7 | Loss: 0.695 | Policy: -0.498 | Value: 2.398 | Reward: -40.03
Episode 8 | Loss: 0.752 | Policy: -0.836 | Value: 3.187 | Reward: -60.03
Episode 9 | Loss: 0.698 | Policy: -0.869 | Value: 3.148 | Reward: -60.03
Episode 10 | Loss: 0.597 | Policy: -0.628 | Value: 2.466 | Reward: -50.03
Episode 11 | Loss: -0.133 | Policy: -0.174 | Value: 0.101 | Reward: -60.03
Episode 12 | Loss: 0.791 | Policy: 0.564 | Value: 0.474 | Reward: -50.03
Episode 13 | Loss: 2.008 | Policy: 1.124 | Value: 1.785 | Reward: -50.03
Episode 14 | Loss: 2.279 | Policy: 1.226 | Value: 2.123 | Reward: -50.03
Episode 15 | Loss: 1.658 | Policy: 1.010 | Value: 1.314 | Reward: -50.03
Episode 16 | Loss: 1.169 | Policy: 0.767 | Value: 0.818 | Reward: -60.03
Episode 17 | Loss: 0.008 | Policy: -0.006 | Value: 0.043 | Reward: -60.03
Episode 18 | Loss: 0.268 | Policy: -0.296 | Value: 1.142 | Reward: -50.03
Episode 19 | Loss: 0.290 | Policy: -0.303 | Value: 1.198 | Reward: -50.03
Episode 20 | Loss: 0.111 | Policy: -0.171 | Value: 0.578 | Reward: -50.03
Episode 21 | Loss: 0.152 | Policy: 0.113 | Value: 0.093 | Reward: -50.03
Episode 22 | Loss: 0.914 | Policy: 0.636 | Value: 0.572 | Reward: -50.03
Episode 23 | Loss: 2.201 | Policy: 1.209 | Value: 2.000 | Reward: -60.03
Episode 24 | Loss: 1.179 | Policy: 0.764 | Value: 0.846 | Reward: -50.03
Episode 25 | Loss: 0.521 | Policy: 0.401 | Value: 0.257 | Reward: -50.03
Episode 26 | Loss: -0.103 | Policy: -0.131 | Value: 0.074 | Reward: -50.03
Episode 27 | Loss: -0.119 | Policy: -0.248 | Value: 0.276 | Reward: -50.03
Episode 28 | Loss: -0.176 | Policy: -0.269 | Value: 0.205 | Reward: -50.03
Episode 29 | Loss: -0.015 | Policy: -0.027 | Value: 0.044 | Reward: -50.03
Episode 30 | Loss: 1.048 | Policy: 0.684 | Value: 0.745 | Reward: -60.03
Episode 31 | Loss: 1.306 | Policy: 0.811 | Value: 1.002 | Reward: -60.03
Episode 32 | Loss: 0.505 | Policy: 0.382 | Value: 0.258 | Reward: -50.03
Episode 33 | Loss: -0.012 | Policy: -0.025 | Value: 0.036 | Reward: -50.03
Episode 34 | Loss: 0.102 | Policy: 0.074 | Value: 0.062 | Reward: -60.03
Episode 35 | Loss: 0.003 | Policy: -0.262 | Value: 0.537 | Reward: -50.03
Episode 36 | Loss: 0.095 | Policy: -0.275 | Value: 0.747 | Reward: -50.03
Episode 37 | Loss: -0.105 | Policy: -0.156 | Value: 0.104 | Reward: -60.03
Episode 38 | Loss: 0.200 | Policy: 0.168 | Value: 0.067 | Reward: -60.03
Episode 39 | Loss: 0.043 | Policy: -0.061 | Value: 0.217 | Reward: -40.03
Episode 40 | Loss: 0.952 | Policy: 0.652 | Value: 0.603 | Reward: -60.03
Episode 41 | Loss: 0.152 | Policy: 0.118 | Value: 0.077 | Reward: -40.04
Episode 42 | Loss: 0.724 | Policy: 0.525 | Value: 0.401 | Reward: -60.03
Episode 43 | Loss: 0.111 | Policy: 0.096 | Value: 0.037 | Reward: -60.03
Episode 44 | Loss: 0.245 | Policy: -0.282 | Value: 1.063 | Reward: -50.03
