Episode 0 | Loss: 0.728 | Policy: -0.828 | Value: 3.156 | Reward: 49.96
Episode 1 | Loss: 5.070 | Policy: 1.795 | Value: 6.581 | Reward: -40.03
Episode 2 | Loss: 1.989 | Policy: 0.865 | Value: 2.263 | Reward: -50.03
Episode 3 | Loss: 0.208 | Policy: -0.596 | Value: 1.616 | Reward: -50.03
Episode 4 | Loss: 0.309 | Policy: -0.595 | Value: 1.814 | Reward: -50.03
Episode 5 | Loss: 0.015 | Policy: -0.205 | Value: 0.443 | Reward: -60.03
Episode 6 | Loss: 2.020 | Policy: 1.051 | Value: 1.940 | Reward: -60.03
Episode 7 | Loss: 1.775 | Policy: 0.990 | Value: 1.572 | Reward: -40.03
Episode 8 | Loss: 1.397 | Policy: 0.835 | Value: 1.126 | Reward: -50.03
Episode 9 | Loss: 0.399 | Policy: 0.284 | Value: 0.232 | Reward: -60.03
Episode 10 | Loss: -0.223 | Policy: -0.478 | Value: 0.510 | Reward: -70.03
Episode 11 | Loss: 0.044 | Policy: -0.740 | Value: 1.569 | Reward: -70.03
Episode 12 | Loss: 2.045 | Policy: -0.512 | Value: 5.115 | Reward: -50.03
Episode 13 | Loss: 1.186 | Policy: -0.357 | Value: 3.086 | Reward: -50.03
Episode 14 | Loss: 0.476 | Policy: 0.369 | Value: 0.213 | Reward: -70.03
Episode 15 | Loss: 1.038 | Policy: 0.704 | Value: 0.669 | Reward: -70.03
Episode 16 | Loss: 0.247 | Policy: -0.036 | Value: 0.565 | Reward: -50.03
Episode 17 | Loss: 0.412 | Policy: 0.308 | Value: 0.209 | Reward: -60.03
Episode 18 | Loss: 0.202 | Policy: 0.010 | Value: 0.384 | Reward: -50.03
Episode 19 | Loss: 0.495 | Policy: 0.368 | Value: 0.253 | Reward: -60.03
Episode 20 | Loss: 0.134 | Policy: 0.014 | Value: 0.241 | Reward: -50.03
Episode 21 | Loss: 0.519 | Policy: 0.386 | Value: 0.266 | Reward: -60.03
Episode 22 | Loss: 0.219 | Policy: -0.080 | Value: 0.598 | Reward: -40.04
Episode 23 | Loss: 0.109 | Policy: 0.075 | Value: 0.069 | Reward: -50.03
Episode 24 | Loss: -0.010 | Policy: -0.042 | Value: 0.065 | Reward: -50.03
Episode 25 | Loss: 1.091 | Policy: 0.701 | Value: 0.781 | Reward: -70.03
Episode 26 | Loss: 0.721 | Policy: 0.489 | Value: 0.465 | Reward: -70.03
Episode 27 | Loss: -0.070 | Policy: -0.263 | Value: 0.386 | Reward: -50.03
Episode 28 | Loss: -0.045 | Policy: -0.302 | Value: 0.515 | Reward: -50.03
Episode 29 | Loss: -0.050 | Policy: -0.144 | Value: 0.190 | Reward: -60.03
Episode 30 | Loss: 0.136 | Policy: 0.070 | Value: 0.133 | Reward: -40.03
Episode 31 | Loss: 1.316 | Policy: 0.810 | Value: 1.013 | Reward: -70.03
Episode 32 | Loss: 0.618 | Policy: 0.419 | Value: 0.399 | Reward: -60.03
Episode 33 | Loss: 0.010 | Policy: -0.044 | Value: 0.110 | Reward: -60.03
Episode 34 | Loss: -0.142 | Policy: -0.236 | Value: 0.189 | Reward: -60.03
