Episode 0 | Loss: 3.347 | Policy: -1.189 | Value: 9.099 | Reward: -250.42
Episode 1 | Loss: 0.688 | Policy: 0.169 | Value: 1.058 | Reward: 49.58
Episode 2 | Loss: 0.807 | Policy: 0.404 | Value: 0.815 | Reward: -730.26
Episode 3 | Loss: -0.082 | Policy: -0.288 | Value: 0.417 | Reward: -730.29
Episode 4 | Loss: -0.053 | Policy: -0.152 | Value: 0.201 | Reward: -730.26
Episode 5 | Loss: 0.826 | Policy: 0.546 | Value: 0.562 | Reward: -730.29
Episode 6 | Loss: 0.371 | Policy: 0.289 | Value: 0.165 | Reward: -600.36
Episode 7 | Loss: 0.379 | Policy: 0.279 | Value: 0.201 | Reward: -860.26
Episode 8 | Loss: 0.256 | Policy: -0.312 | Value: 1.138 | Reward: -730.31
Episode 9 | Loss: 0.655 | Policy: -0.385 | Value: 2.081 | Reward: -730.26
Episode 10 | Loss: 0.495 | Policy: -0.329 | Value: 1.649 | Reward: -730.34
Episode 11 | Loss: 0.221 | Policy: 0.171 | Value: 0.100 | Reward: -990.26
Episode 12 | Loss: -0.044 | Policy: -0.073 | Value: 0.059 | Reward: -860.31
Episode 13 | Loss: 1.068 | Policy: 0.713 | Value: 0.711 | Reward: -990.26
Episode 14 | Loss: 0.104 | Policy: 0.054 | Value: 0.101 | Reward: -730.34
Episode 15 | Loss: 0.222 | Policy: 0.103 | Value: 0.237 | Reward: -600.36
Episode 16 | Loss: 0.696 | Policy: 0.470 | Value: 0.451 | Reward: -600.36
Episode 17 | Loss: 1.716 | Policy: 0.997 | Value: 1.437 | Reward: -730.26
Episode 18 | Loss: 1.389 | Policy: 0.855 | Value: 1.068 | Reward: -730.26
Episode 19 | Loss: 0.588 | Policy: 0.433 | Value: 0.310 | Reward: -730.26
Episode 20 | Loss: -0.027 | Policy: -0.082 | Value: 0.110 | Reward: -730.26
Episode 21 | Loss: 0.016 | Policy: -0.188 | Value: 0.408 | Reward: -730.26
Episode 22 | Loss: -0.000 | Policy: -0.190 | Value: 0.380 | Reward: -730.26
Episode 23 | Loss: -0.055 | Policy: -0.103 | Value: 0.097 | Reward: -730.26
Episode 24 | Loss: 1.622 | Policy: 0.964 | Value: 1.316 | Reward: -990.26
Episode 25 | Loss: 0.133 | Policy: 0.086 | Value: 0.093 | Reward: -470.41
Episode 26 | Loss: 1.424 | Policy: 0.864 | Value: 1.121 | Reward: -730.31
Episode 27 | Loss: 1.013 | Policy: 0.669 | Value: 0.688 | Reward: -600.36
Episode 28 | Loss: 0.664 | Policy: 0.477 | Value: 0.374 | Reward: -600.26
Episode 29 | Loss: 0.360 | Policy: 0.266 | Value: 0.188 | Reward: -730.34
Episode 30 | Loss: 0.022 | Policy: -0.210 | Value: 0.464 | Reward: -600.26
Episode 31 | Loss: 0.242 | Policy: -0.288 | Value: 1.061 | Reward: -600.36
Episode 32 | Loss: 0.042 | Policy: -0.334 | Value: 0.752 | Reward: -730.31
Episode 33 | Loss: -0.068 | Policy: -0.278 | Value: 0.419 | Reward: -730.26
Episode 34 | Loss: -0.024 | Policy: -0.081 | Value: 0.114 | Reward: -730.26
Episode 35 | Loss: 0.763 | Policy: 0.511 | Value: 0.505 | Reward: -730.29
Episode 36 | Loss: 2.542 | Policy: 1.322 | Value: 2.440 | Reward: -990.26
Episode 37 | Loss: 1.021 | Policy: 0.663 | Value: 0.717 | Reward: -600.29
Episode 38 | Loss: 0.655 | Policy: 0.465 | Value: 0.381 | Reward: -600.41
Episode 39 | Loss: 0.087 | Policy: 0.061 | Value: 0.053 | Reward: -600.36
Episode 40 | Loss: 0.171 | Policy: -0.178 | Value: 0.699 | Reward: -470.41
Episode 41 | Loss: -0.007 | Policy: -0.277 | Value: 0.541 | Reward: -730.26
Episode 42 | Loss: -0.076 | Policy: -0.138 | Value: 0.125 | Reward: -990.26
Episode 43 | Loss: 0.101 | Policy: -0.201 | Value: 0.605 | Reward: -600.26
Episode 44 | Loss: -0.010 | Policy: -0.029 | Value: 0.037 | Reward: -730.26
Episode 45 | Loss: 0.356 | Policy: 0.286 | Value: 0.141 | Reward: -600.26
Episode 46 | Loss: 0.775 | Policy: 0.547 | Value: 0.456 | Reward: -600.29
Episode 47 | Loss: 0.800 | Policy: 0.559 | Value: 0.482 | Reward: -600.26
Episode 48 | Loss: 0.930 | Policy: 0.633 | Value: 0.596 | Reward: -730.31
Episode 49 | Loss: 0.281 | Policy: 0.224 | Value: 0.113 | Reward: -730.26
Episode 50 | Loss: 0.017 | Policy: -0.103 | Value: 0.241 | Reward: -730.31
Episode 51 | Loss: 1.099 | Policy: -0.171 | Value: 2.541 | Reward: -470.26
Episode 52 | Loss: 0.210 | Policy: -0.199 | Value: 0.818 | Reward: -730.26
Episode 53 | Loss: 0.111 | Policy: -0.145 | Value: 0.512 | Reward: -730.26
Episode 54 | Loss: 0.055 | Policy: -0.003 | Value: 0.117 | Reward: -730.31
Episode 55 | Loss: 0.243 | Policy: 0.088 | Value: 0.313 | Reward: -470.26
Episode 56 | Loss: 1.897 | Policy: 1.074 | Value: 1.648 | Reward: -730.26
Episode 57 | Loss: 2.980 | Policy: 1.467 | Value: 3.027 | Reward: -730.26
Episode 58 | Loss: 3.384 | Policy: 1.597 | Value: 3.576 | Reward: -730.26
Episode 59 | Loss: 2.234 | Policy: 1.197 | Value: 2.076 | Reward: -600.26
Episode 60 | Loss: 2.198 | Policy: 1.193 | Value: 2.011 | Reward: -730.26
Episode 61 | Loss: 0.592 | Policy: 0.437 | Value: 0.311 | Reward: -600.26
Episode 62 | Loss: 0.099 | Policy: 0.085 | Value: 0.032 | Reward: -730.26
Episode 63 | Loss: 0.103 | Policy: -0.242 | Value: 0.694 | Reward: -730.26
Episode 64 | Loss: 1.069 | Policy: -0.370 | Value: 2.885 | Reward: -600.26
Episode 65 | Loss: 0.819 | Policy: -0.501 | Value: 2.650 | Reward: -730.26
Episode 66 | Loss: 0.741 | Policy: -0.547 | Value: 2.588 | Reward: -730.26
Episode 67 | Loss: 0.383 | Policy: -0.523 | Value: 1.827 | Reward: -730.34
Episode 68 | Loss: 0.212 | Policy: -0.475 | Value: 1.393 | Reward: -600.26
Episode 69 | Loss: 0.065 | Policy: 0.036 | Value: 0.077 | Reward: -860.26
Episode 70 | Loss: -0.058 | Policy: -0.068 | Value: 0.042 | Reward: -600.29
