Episode 0 | Loss: 3.294 | Policy: -0.742 | Value: 8.085 | Reward: -400.57
Episode 1 | Loss: 2.876 | Policy: 1.241 | Value: 3.288 | Reward: -650.35
Episode 2 | Loss: 2.005 | Policy: 0.938 | Value: 2.153 | Reward: -650.37
Episode 3 | Loss: 0.088 | Policy: -0.303 | Value: 0.800 | Reward: -900.27
Episode 4 | Loss: -0.139 | Policy: -0.481 | Value: 0.699 | Reward: -1300.26
Episode 5 | Loss: 0.117 | Policy: -0.032 | Value: 0.319 | Reward: -1050.26
Episode 6 | Loss: 0.299 | Policy: 0.192 | Value: 0.237 | Reward: -800.44
Episode 7 | Loss: 0.221 | Policy: 0.127 | Value: 0.197 | Reward: -1300.34
Episode 8 | Loss: 0.036 | Policy: -0.338 | Value: 0.751 | Reward: -1300.34
Episode 9 | Loss: -0.090 | Policy: -0.373 | Value: 0.567 | Reward: -1550.29
Episode 10 | Loss: 0.180 | Policy: -0.188 | Value: 0.738 | Reward: -1050.26
Episode 11 | Loss: 1.070 | Policy: 0.700 | Value: 0.741 | Reward: -1550.29
Episode 12 | Loss: 0.905 | Policy: 0.617 | Value: 0.575 | Reward: -1300.26
Episode 13 | Loss: 1.109 | Policy: 0.726 | Value: 0.765 | Reward: -1550.29
Episode 14 | Loss: 0.108 | Policy: 0.084 | Value: 0.047 | Reward: -1550.26
Episode 15 | Loss: 0.789 | Policy: -0.352 | Value: 2.281 | Reward: -1300.26
Episode 16 | Loss: 1.605 | Policy: -0.475 | Value: 4.161 | Reward: -1300.29
Episode 17 | Loss: 2.741 | Policy: -0.408 | Value: 6.299 | Reward: -1050.26
Episode 18 | Loss: 0.217 | Policy: -0.388 | Value: 1.212 | Reward: -1550.26
Episode 19 | Loss: -0.058 | Policy: -0.104 | Value: 0.092 | Reward: -1550.26
Episode 20 | Loss: 1.243 | Policy: 0.797 | Value: 0.893 | Reward: -1550.29
Episode 21 | Loss: 2.507 | Policy: 1.319 | Value: 2.374 | Reward: -1550.26
