Episode 0 | Loss: 6926.431 | Policy: -118.698 | Value: 14090.258 | Reward: -42300.00
Episode 1 | Loss: 2445.089 | Policy: -70.930 | Value: 5032.038 | Reward: -42300.00
Episode 2 | Loss: 362.780 | Policy: -27.936 | Value: 781.433 | Reward: -42300.00
Episode 3 | Loss: 106.535 | Policy: 13.597 | Value: 185.877 | Reward: -42300.00
Episode 4 | Loss: 441.195 | Policy: 28.682 | Value: 825.027 | Reward: -10390.26
Episode 5 | Loss: 460.352 | Policy: 26.474 | Value: 867.767 | Reward: -1670.26
Episode 6 | Loss: 263.162 | Policy: 19.109 | Value: 488.106 | Reward: -1550.26
Episode 7 | Loss: 44.514 | Policy: 7.425 | Value: 74.179 | Reward: -1550.26
Episode 8 | Loss: 45.068 | Policy: -2.532 | Value: 95.204 | Reward: -1300.31
Episode 9 | Loss: 157.951 | Policy: -4.599 | Value: 325.101 | Reward: -1300.31
Episode 10 | Loss: 172.678 | Policy: -4.803 | Value: 354.963 | Reward: -1300.31
Episode 11 | Loss: 85.558 | Policy: -4.631 | Value: 180.378 | Reward: -1550.26
Episode 12 | Loss: 5.191 | Policy: -1.366 | Value: 13.113 | Reward: -1550.26
Episode 13 | Loss: 59.563 | Policy: 8.700 | Value: 101.725 | Reward: -1550.26
Episode 14 | Loss: 156.907 | Policy: 14.582 | Value: 284.650 | Reward: -1550.26
Episode 15 | Loss: 175.653 | Policy: 15.472 | Value: 320.363 | Reward: -1550.26
Episode 16 | Loss: 111.120 | Policy: 12.152 | Value: 197.935 | Reward: -1550.26
Episode 17 | Loss: 23.947 | Policy: 5.254 | Value: 37.386 | Reward: -1550.26
Episode 18 | Loss: 12.660 | Policy: -1.968 | Value: 29.255 | Reward: -1550.26
Episode 19 | Loss: 57.720 | Policy: -3.863 | Value: 123.165 | Reward: -1550.26
Episode 20 | Loss: 65.177 | Policy: -4.087 | Value: 138.528 | Reward: -1550.26
Episode 21 | Loss: 29.835 | Policy: -2.861 | Value: 65.392 | Reward: -1550.26
Episode 22 | Loss: -0.124 | Policy: -0.375 | Value: 0.502 | Reward: -1550.26
Episode 23 | Loss: 60.560 | Policy: 8.777 | Value: 103.566 | Reward: -1550.26
Episode 24 | Loss: 135.898 | Policy: 13.518 | Value: 244.760 | Reward: -1550.26
Episode 25 | Loss: 149.740 | Policy: 14.227 | Value: 271.026 | Reward: -1550.26
Episode 26 | Loss: 98.375 | Policy: 11.389 | Value: 173.970 | Reward: -1550.26
Episode 27 | Loss: 25.341 | Policy: 5.424 | Value: 39.834 | Reward: -1550.26
Episode 28 | Loss: 5.774 | Policy: -1.432 | Value: 14.411 | Reward: -1550.26
Episode 29 | Loss: 36.118 | Policy: -3.119 | Value: 78.475 | Reward: -1550.26
Episode 30 | Loss: 41.699 | Policy: -3.329 | Value: 90.057 | Reward: -1550.26
Episode 31 | Loss: 16.911 | Policy: -2.229 | Value: 38.280 | Reward: -1550.26
Episode 32 | Loss: 0.764 | Policy: 0.503 | Value: 0.523 | Reward: -1550.26
Episode 33 | Loss: 6.677 | Policy: 2.460 | Value: 8.432 | Reward: -1550.26
Episode 34 | Loss: 1.600 | Policy: 0.922 | Value: 1.357 | Reward: -1550.26
Episode 35 | Loss: 7.577 | Policy: -1.594 | Value: 18.342 | Reward: -1550.26
Episode 36 | Loss: 12.204 | Policy: -1.939 | Value: 28.285 | Reward: -1550.26
Episode 37 | Loss: 2.139 | Policy: -0.998 | Value: 6.274 | Reward: -1550.26
Episode 38 | Loss: 10.536 | Policy: 3.256 | Value: 14.561 | Reward: -1550.26
Episode 39 | Loss: 21.198 | Policy: 4.902 | Value: 32.592 | Reward: -1550.26
Episode 40 | Loss: 10.023 | Policy: 3.160 | Value: 13.726 | Reward: -1550.26
Episode 41 | Loss: 0.948 | Policy: -0.778 | Value: 3.453 | Reward: -1550.26
Episode 42 | Loss: 3.568 | Policy: -1.191 | Value: 9.518 | Reward: -1550.26
Episode 43 | Loss: -0.149 | Policy: -0.332 | Value: 0.367 | Reward: -1550.26
Episode 44 | Loss: 20.021 | Policy: 4.745 | Value: 30.552 | Reward: -1550.26
Episode 45 | Loss: 32.427 | Policy: 6.230 | Value: 52.394 | Reward: -1550.26
Episode 46 | Loss: 17.490 | Policy: 4.390 | Value: 26.200 | Reward: -1550.26
Episode 47 | Loss: -0.152 | Policy: -0.322 | Value: 0.340 | Reward: -1550.26
Episode 48 | Loss: 0.914 | Policy: -0.767 | Value: 3.361 | Reward: -1550.26
Episode 49 | Loss: 0.807 | Policy: 0.531 | Value: 0.552 | Reward: -1550.26
Episode 50 | Loss: -0.055 | Policy: -0.430 | Value: 0.749 | Reward: -1550.26
Episode 51 | Loss: 2.592 | Policy: 1.316 | Value: 2.551 | Reward: -1550.26
Episode 52 | Loss: 0.057 | Policy: -0.005 | Value: 0.124 | Reward: -1550.26
Episode 53 | Loss: 10.366 | Policy: -1.799 | Value: 24.329 | Reward: -1550.26
Episode 54 | Loss: 14.454 | Policy: -2.067 | Value: 33.043 | Reward: -1550.26
Episode 55 | Loss: 2.993 | Policy: -1.101 | Value: 8.187 | Reward: -1550.26
Episode 56 | Loss: 8.682 | Policy: 2.902 | Value: 11.560 | Reward: -1550.26
Episode 57 | Loss: 19.052 | Policy: 4.617 | Value: 28.868 | Reward: -1550.26
Episode 58 | Loss: 9.314 | Policy: 3.030 | Value: 12.568 | Reward: -1550.26
Episode 59 | Loss: 0.819 | Policy: -0.720 | Value: 3.077 | Reward: -1550.26
Episode 60 | Loss: 2.994 | Policy: -1.089 | Value: 8.165 | Reward: -1550.26
Episode 61 | Loss: -0.135 | Policy: -0.208 | Value: 0.147 | Reward: -1550.26
