Episode 0 | Loss: 181.736 | Policy: -9.578 | Value: 382.647 | Reward: -1300.31
Episode 1 | Loss: 249.273 | Policy: 18.190 | Value: 462.172 | Reward: -1300.36
Episode 2 | Loss: 183.104 | Policy: 15.482 | Value: 335.254 | Reward: -900.37
Episode 3 | Loss: 16.240 | Policy: 4.059 | Value: 24.362 | Reward: -1300.34
Episode 4 | Loss: 106.425 | Policy: -4.062 | Value: 220.972 | Reward: -1300.34
Episode 5 | Loss: 200.117 | Policy: -5.442 | Value: 411.117 | Reward: -1300.34
Episode 6 | Loss: 135.865 | Policy: -4.560 | Value: 280.850 | Reward: -1300.34
Episode 7 | Loss: 23.417 | Policy: -2.146 | Value: 51.125 | Reward: -1300.36
Episode 8 | Loss: 30.760 | Policy: 5.865 | Value: 49.789 | Reward: -1300.34
Episode 9 | Loss: 93.444 | Policy: 10.819 | Value: 165.250 | Reward: -1300.34
Episode 10 | Loss: 88.082 | Policy: 10.482 | Value: 155.199 | Reward: -1300.34
Episode 11 | Loss: 32.198 | Policy: 6.019 | Value: 52.359 | Reward: -1300.36
Episode 12 | Loss: 1.657 | Policy: -0.889 | Value: 5.091 | Reward: -1300.34
Episode 13 | Loss: 13.446 | Policy: -1.736 | Value: 30.364 | Reward: -1300.36
Episode 14 | Loss: 7.209 | Policy: -1.379 | Value: 17.175 | Reward: -1300.36
Episode 15 | Loss: 2.180 | Policy: 1.009 | Value: 2.342 | Reward: -1550.36
Episode 16 | Loss: 3.782 | Policy: 1.539 | Value: 4.488 | Reward: -1300.36
Episode 17 | Loss: 0.858 | Policy: -0.748 | Value: 3.212 | Reward: -1300.36
Episode 18 | Loss: 0.211 | Policy: -0.451 | Value: 1.325 | Reward: -1300.36
Episode 19 | Loss: 11.189 | Policy: 3.226 | Value: 15.925 | Reward: -1300.36
Episode 20 | Loss: 12.629 | Policy: 3.479 | Value: 18.301 | Reward: -1300.36
Episode 21 | Loss: 1.215 | Policy: 0.571 | Value: 1.290 | Reward: -1550.36
Episode 22 | Loss: 15.790 | Policy: -1.824 | Value: 35.228 | Reward: -1300.36
Episode 23 | Loss: 30.902 | Policy: -3.119 | Value: 68.042 | Reward: -1550.36
Episode 24 | Loss: 20.358 | Policy: -2.624 | Value: 45.964 | Reward: -1550.36
Episode 25 | Loss: 1.371 | Policy: -0.824 | Value: 4.390 | Reward: -1300.36
Episode 26 | Loss: 22.499 | Policy: 5.001 | Value: 34.996 | Reward: -1550.36
Episode 27 | Loss: 52.037 | Policy: 7.884 | Value: 88.307 | Reward: -1300.36
Episode 28 | Loss: 49.053 | Policy: 7.632 | Value: 82.843 | Reward: -1300.36
Episode 29 | Loss: 19.543 | Policy: 4.530 | Value: 30.027 | Reward: -1300.36
Episode 30 | Loss: 0.302 | Policy: -0.778 | Value: 2.159 | Reward: -1550.36
Episode 31 | Loss: 5.878 | Policy: -1.633 | Value: 15.023 | Reward: -1550.36
Episode 32 | Loss: 2.840 | Policy: -1.286 | Value: 8.253 | Reward: -1550.36
Episode 33 | Loss: 2.655 | Policy: 1.192 | Value: 2.926 | Reward: -1300.36
Episode 34 | Loss: 3.939 | Policy: 1.648 | Value: 4.582 | Reward: -1550.36
Episode 35 | Loss: 0.036 | Policy: -0.646 | Value: 1.365 | Reward: -1550.36
Episode 36 | Loss: 0.216 | Policy: -0.142 | Value: 0.716 | Reward: -1300.36
Episode 37 | Loss: 10.757 | Policy: 3.225 | Value: 15.063 | Reward: -1550.36
Episode 38 | Loss: 11.853 | Policy: 3.371 | Value: 16.964 | Reward: -1300.36
