Episode 0 | Loss: 112.025 | Policy: 12.188 | Value: 199.672 | Reward: -1550.34
Episode 1 | Loss: 432.706 | Policy: -10.188 | Value: 885.789 | Reward: -1550.34
Episode 2 | Loss: 361.462 | Policy: -9.345 | Value: 741.614 | Reward: -1550.34
Episode 3 | Loss: 43.232 | Policy: -3.484 | Value: 93.433 | Reward: -1550.34
Episode 4 | Loss: 130.767 | Policy: 13.226 | Value: 235.083 | Reward: -1550.34
Episode 5 | Loss: 297.666 | Policy: 20.351 | Value: 554.630 | Reward: -1550.26
Episode 6 | Loss: 234.599 | Policy: 17.979 | Value: 433.240 | Reward: -1550.34
Episode 7 | Loss: 63.609 | Policy: 8.991 | Value: 109.236 | Reward: -1550.34
Episode 8 | Loss: 13.201 | Policy: -2.101 | Value: 30.604 | Reward: -1550.34
Episode 9 | Loss: 65.883 | Policy: -4.210 | Value: 140.185 | Reward: -1550.34
Episode 10 | Loss: 53.212 | Policy: -3.823 | Value: 114.069 | Reward: -1550.34
Episode 11 | Loss: 5.019 | Policy: -1.451 | Value: 12.940 | Reward: -1550.34
Episode 12 | Loss: 42.503 | Policy: 7.211 | Value: 70.585 | Reward: -1550.34
Episode 13 | Loss: 96.752 | Policy: 11.268 | Value: 170.968 | Reward: -1550.34
Episode 14 | Loss: 78.894 | Policy: 10.101 | Value: 137.587 | Reward: -1550.34
Episode 15 | Loss: 18.846 | Policy: 4.554 | Value: 28.584 | Reward: -1550.34
Episode 16 | Loss: 12.436 | Policy: -2.050 | Value: 28.972 | Reward: -1550.26
Episode 17 | Loss: 44.029 | Policy: -3.511 | Value: 95.080 | Reward: -1550.34
Episode 18 | Loss: 35.118 | Policy: -3.177 | Value: 76.590 | Reward: -1550.34
Episode 19 | Loss: 3.662 | Policy: -1.298 | Value: 9.920 | Reward: -1550.34
Episode 20 | Loss: 27.216 | Policy: 5.621 | Value: 43.189 | Reward: -1550.34
Episode 21 | Loss: 64.157 | Policy: 9.034 | Value: 110.246 | Reward: -1550.34
Episode 22 | Loss: 52.896 | Policy: 8.133 | Value: 89.527 | Reward: -1550.34
Episode 23 | Loss: 10.994 | Policy: 3.267 | Value: 15.453 | Reward: -1300.26
Episode 24 | Loss: 11.411 | Policy: -1.978 | Value: 26.777 | Reward: -1550.34
Episode 25 | Loss: 36.972 | Policy: -3.246 | Value: 80.436 | Reward: -1550.34
Episode 26 | Loss: 29.317 | Policy: -2.933 | Value: 64.499 | Reward: -1550.34
Episode 27 | Loss: 3.098 | Policy: -1.223 | Value: 8.641 | Reward: -1550.34
Episode 28 | Loss: 22.894 | Policy: 5.096 | Value: 35.596 | Reward: -1550.34
Episode 29 | Loss: 54.452 | Policy: 8.264 | Value: 92.377 | Reward: -1550.26
Episode 30 | Loss: 45.166 | Policy: 7.459 | Value: 75.413 | Reward: -1550.26
Episode 31 | Loss: 10.025 | Policy: 3.131 | Value: 13.789 | Reward: -1550.34
Episode 32 | Loss: 11.675 | Policy: -1.489 | Value: 26.329 | Reward: -1300.34
Episode 33 | Loss: 35.339 | Policy: -2.381 | Value: 75.440 | Reward: -1300.34
Episode 34 | Loss: 26.134 | Policy: -2.787 | Value: 57.841 | Reward: -1550.34
Episode 35 | Loss: 3.288 | Policy: -0.929 | Value: 8.434 | Reward: -1300.26
Episode 36 | Loss: 21.679 | Policy: 4.940 | Value: 33.479 | Reward: -1550.26
Episode 37 | Loss: 49.350 | Policy: 7.703 | Value: 83.295 | Reward: -1300.26
Episode 38 | Loss: 42.696 | Policy: 7.232 | Value: 70.928 | Reward: -1550.26
Episode 39 | Loss: 9.719 | Policy: 3.072 | Value: 13.294 | Reward: -1550.26
Episode 40 | Loss: 10.520 | Policy: -1.431 | Value: 23.902 | Reward: -1300.34
Episode 41 | Loss: 32.331 | Policy: -2.292 | Value: 69.246 | Reward: -1300.26
Episode 42 | Loss: 25.539 | Policy: -2.069 | Value: 55.215 | Reward: -1300.26
Episode 43 | Loss: 2.754 | Policy: -0.877 | Value: 7.264 | Reward: -1300.34
Episode 44 | Loss: 20.447 | Policy: 4.706 | Value: 31.482 | Reward: -1300.26
Episode 45 | Loss: 48.504 | Policy: 7.629 | Value: 81.749 | Reward: -1300.26
Episode 46 | Loss: 42.126 | Policy: 7.178 | Value: 69.896 | Reward: -1550.26
Episode 47 | Loss: 9.153 | Policy: 2.924 | Value: 12.457 | Reward: -1300.26
Episode 48 | Loss: 8.353 | Policy: -1.747 | Value: 20.200 | Reward: -1550.26
Episode 49 | Loss: 29.881 | Policy: -2.216 | Value: 64.193 | Reward: -1300.26
Episode 50 | Loss: 23.488 | Policy: -1.997 | Value: 50.970 | Reward: -1300.26
Episode 51 | Loss: 2.294 | Policy: -0.827 | Value: 6.244 | Reward: -1300.26
Episode 52 | Loss: 21.957 | Policy: 4.976 | Value: 33.963 | Reward: -1550.26
Episode 53 | Loss: 50.210 | Policy: 7.905 | Value: 84.609 | Reward: -1550.26
Episode 54 | Loss: 40.531 | Policy: 6.913 | Value: 67.236 | Reward: -1300.26
Episode 55 | Loss: 9.535 | Policy: 2.999 | Value: 13.073 | Reward: -1300.26
Episode 56 | Loss: 8.505 | Policy: -1.317 | Value: 19.645 | Reward: -1300.26
Episode 57 | Loss: 27.763 | Policy: -2.146 | Value: 59.818 | Reward: -1300.26
Episode 58 | Loss: 20.042 | Policy: -2.490 | Value: 45.062 | Reward: -1550.26
Episode 59 | Loss: 1.886 | Policy: -0.779 | Value: 5.330 | Reward: -1300.26
Episode 60 | Loss: 21.234 | Policy: 4.809 | Value: 32.851 | Reward: -1300.26
Episode 61 | Loss: 50.436 | Policy: 7.925 | Value: 85.022 | Reward: -1550.26
Episode 62 | Loss: 42.504 | Policy: 7.214 | Value: 70.582 | Reward: -1550.26
Episode 63 | Loss: 9.977 | Policy: 3.083 | Value: 13.789 | Reward: -1300.26
Episode 64 | Loss: 7.646 | Policy: -1.263 | Value: 17.818 | Reward: -1300.26
Episode 65 | Loss: 25.862 | Policy: -2.080 | Value: 55.885 | Reward: -1300.26
Episode 66 | Loss: 20.091 | Policy: -1.868 | Value: 43.917 | Reward: -1300.26
Episode 67 | Loss: 1.532 | Policy: -0.732 | Value: 4.529 | Reward: -1300.26
Episode 68 | Loss: 21.751 | Policy: 4.876 | Value: 33.750 | Reward: -1300.26
Episode 69 | Loss: 50.788 | Policy: 7.955 | Value: 85.666 | Reward: -1550.26
Episode 70 | Loss: 42.937 | Policy: 7.254 | Value: 71.367 | Reward: -1550.26
Episode 71 | Loss: 10.473 | Policy: 3.175 | Value: 14.596 | Reward: -1300.26
Episode 72 | Loss: 6.830 | Policy: -1.211 | Value: 16.081 | Reward: -1300.26
Episode 73 | Loss: 24.045 | Policy: -2.017 | Value: 52.125 | Reward: -1300.26
Episode 74 | Loss: 18.558 | Policy: -1.807 | Value: 40.731 | Reward: -1300.26
Episode 75 | Loss: 1.211 | Policy: -0.686 | Value: 3.795 | Reward: -1300.26
Episode 76 | Loss: 22.320 | Policy: 4.948 | Value: 34.745 | Reward: -1300.26
Episode 77 | Loss: 51.209 | Policy: 7.991 | Value: 86.436 | Reward: -1550.26
Episode 78 | Loss: 41.742 | Policy: 7.026 | Value: 69.433 | Reward: -1300.26
Episode 79 | Loss: 10.988 | Policy: 3.268 | Value: 15.441 | Reward: -1300.26
Episode 80 | Loss: 6.075 | Policy: -1.159 | Value: 14.469 | Reward: -1300.26
Episode 81 | Loss: 22.349 | Policy: -1.955 | Value: 48.608 | Reward: -1300.26
Episode 82 | Loss: 17.141 | Policy: -1.748 | Value: 37.778 | Reward: -1300.26
Episode 83 | Loss: 0.937 | Policy: -0.642 | Value: 3.158 | Reward: -1300.26
Episode 84 | Loss: 22.850 | Policy: 5.014 | Value: 35.671 | Reward: -1300.26
Episode 85 | Loss: 51.581 | Policy: 8.023 | Value: 87.116 | Reward: -1550.26
Episode 86 | Loss: 42.160 | Policy: 7.065 | Value: 70.191 | Reward: -1300.26
Episode 87 | Loss: 11.471 | Policy: 3.353 | Value: 16.235 | Reward: -1300.26
Episode 88 | Loss: 5.401 | Policy: -1.109 | Value: 13.020 | Reward: -1300.26
Episode 89 | Loss: 20.788 | Policy: -1.896 | Value: 45.367 | Reward: -1300.26
Episode 90 | Loss: 15.840 | Policy: -1.691 | Value: 35.062 | Reward: -1300.26
Episode 91 | Loss: 0.706 | Policy: -0.599 | Value: 2.610 | Reward: -1300.26
Episode 92 | Loss: 24.610 | Policy: 5.311 | Value: 38.598 | Reward: -1550.26
Episode 93 | Loss: 51.915 | Policy: 8.051 | Value: 87.726 | Reward: -1550.26
Episode 94 | Loss: 42.551 | Policy: 7.101 | Value: 70.901 | Reward: -1300.26
Episode 95 | Loss: 11.951 | Policy: 3.437 | Value: 17.028 | Reward: -1300.26
Episode 96 | Loss: 4.774 | Policy: -1.061 | Value: 11.670 | Reward: -1300.26
Episode 97 | Loss: 19.299 | Policy: -1.837 | Value: 42.272 | Reward: -1300.26
Episode 98 | Loss: 14.597 | Policy: -1.635 | Value: 32.466 | Reward: -1300.26
Episode 99 | Loss: 0.504 | Policy: -0.557 | Value: 2.122 | Reward: -1300.26
Episode 100 | Loss: 23.846 | Policy: 5.138 | Value: 37.416 | Reward: -1300.26
Episode 101 | Loss: 52.243 | Policy: 8.079 | Value: 88.328 | Reward: -1550.26
Episode 102 | Loss: 42.931 | Policy: 7.136 | Value: 71.590 | Reward: -1300.26
Episode 103 | Loss: 13.355 | Policy: 3.722 | Value: 19.267 | Reward: -1550.26
Episode 104 | Loss: 4.201 | Policy: -1.013 | Value: 10.428 | Reward: -1300.26
Episode 105 | Loss: 16.401 | Policy: -2.289 | Value: 37.381 | Reward: -1550.26
Episode 106 | Loss: 13.443 | Policy: -1.581 | Value: 30.048 | Reward: -1300.26
Episode 107 | Loss: 0.338 | Policy: -0.516 | Value: 1.708 | Reward: -1300.26
Episode 108 | Loss: 25.604 | Policy: 5.432 | Value: 40.344 | Reward: -1550.26
Episode 109 | Loss: 52.522 | Policy: 8.103 | Value: 88.839 | Reward: -1550.26
Episode 110 | Loss: 44.997 | Policy: 7.444 | Value: 75.107 | Reward: -1550.26
Episode 111 | Loss: 13.838 | Policy: 3.801 | Value: 20.074 | Reward: -1550.26
Episode 112 | Loss: 3.670 | Policy: -0.967 | Value: 9.275 | Reward: -1300.26
Episode 113 | Loss: 16.565 | Policy: -1.724 | Value: 36.579 | Reward: -1300.26
Episode 114 | Loss: 12.328 | Policy: -1.528 | Value: 27.712 | Reward: -1300.26
Episode 115 | Loss: 0.194 | Policy: -0.477 | Value: 1.342 | Reward: -1300.26
Episode 116 | Loss: 26.117 | Policy: 5.493 | Value: 41.249 | Reward: -1550.26
Episode 117 | Loss: 52.858 | Policy: 8.130 | Value: 89.455 | Reward: -1550.26
Episode 118 | Loss: 45.407 | Policy: 7.480 | Value: 75.854 | Reward: -1550.26
Episode 119 | Loss: 14.360 | Policy: 3.884 | Value: 20.952 | Reward: -1550.26
Episode 120 | Loss: 3.153 | Policy: -0.923 | Value: 8.151 | Reward: -1300.26
Episode 121 | Loss: 15.238 | Policy: -1.670 | Value: 33.815 | Reward: -1300.26
Episode 122 | Loss: 11.232 | Policy: -1.476 | Value: 25.415 | Reward: -1300.26
Episode 123 | Loss: 0.076 | Policy: -0.439 | Value: 1.030 | Reward: -1300.26
Episode 124 | Loss: 25.398 | Policy: 5.322 | Value: 40.151 | Reward: -1300.26
Episode 125 | Loss: 53.201 | Policy: 8.158 | Value: 90.086 | Reward: -1550.26
