Episode 0 | Loss: 3035.406 | Policy: 66.684 | Value: 5937.443 | Reward: -1550.26
Episode 1 | Loss: 489.181 | Policy: 26.252 | Value: 925.856 | Reward: -1550.26
Episode 2 | Loss: 92.201 | Policy: -5.127 | Value: 194.656 | Reward: -1550.26
Episode 3 | Loss: 291.038 | Policy: -8.630 | Value: 599.337 | Reward: -1550.26
Episode 4 | Loss: 182.374 | Policy: -6.955 | Value: 378.658 | Reward: -1550.26
Episode 5 | Loss: 13.433 | Policy: -2.318 | Value: 31.502 | Reward: -1550.26
Episode 6 | Loss: 113.241 | Policy: 12.186 | Value: 202.111 | Reward: -1550.26
Episode 7 | Loss: 260.658 | Policy: 18.933 | Value: 483.449 | Reward: -1550.26
Episode 8 | Loss: 240.693 | Policy: 18.160 | Value: 445.065 | Reward: -1550.26
Episode 9 | Loss: 105.092 | Policy: 11.708 | Value: 186.768 | Reward: -1550.26
Episode 10 | Loss: 2.036 | Policy: 0.850 | Value: 2.373 | Reward: -1550.26
Episode 11 | Loss: 114.661 | Policy: -5.633 | Value: 240.587 | Reward: -1550.26
Episode 12 | Loss: 279.656 | Policy: -8.464 | Value: 576.241 | Reward: -1550.26
Episode 13 | Loss: 326.312 | Policy: -9.095 | Value: 670.814 | Reward: -1550.26
Episode 14 | Loss: 241.313 | Policy: -7.902 | Value: 498.432 | Reward: -1550.26
Episode 15 | Loss: 95.507 | Policy: -5.188 | Value: 201.390 | Reward: -1550.26
Episode 16 | Loss: 1.698 | Policy: -1.192 | Value: 5.780 | Reward: -1550.26
Episode 17 | Loss: 97.786 | Policy: 11.267 | Value: 173.037 | Reward: -1550.26
Episode 18 | Loss: 256.837 | Policy: 18.791 | Value: 476.091 | Reward: -1550.26
Episode 19 | Loss: 329.979 | Policy: 21.414 | Value: 617.130 | Reward: -1550.26
Episode 20 | Loss: 284.215 | Policy: 19.812 | Value: 528.805 | Reward: -1550.26
Episode 21 | Loss: 158.187 | Policy: 14.564 | Value: 287.245 | Reward: -1550.26
Episode 22 | Loss: 32.763 | Policy: 6.161 | Value: 53.204 | Reward: -1550.26
Episode 23 | Loss: 14.125 | Policy: -2.347 | Value: 32.943 | Reward: -1550.26
Episode 24 | Loss: 77.677 | Policy: -4.728 | Value: 164.810 | Reward: -1550.26
Episode 25 | Loss: 106.924 | Policy: -5.446 | Value: 224.741 | Reward: -1550.26
Episode 26 | Loss: 76.969 | Policy: -4.708 | Value: 163.353 | Reward: -1550.26
Episode 27 | Loss: 20.161 | Policy: -2.689 | Value: 45.700 | Reward: -1550.26
Episode 28 | Loss: 6.651 | Policy: 2.299 | Value: 8.705 | Reward: -1550.26
Episode 29 | Loss: 32.070 | Policy: 6.088 | Value: 51.963 | Reward: -1550.26
Episode 30 | Loss: 31.261 | Policy: 6.001 | Value: 50.521 | Reward: -1550.26
Episode 31 | Loss: 7.446 | Policy: 2.485 | Value: 9.922 | Reward: -1550.26
Episode 32 | Loss: 9.047 | Policy: -1.987 | Value: 22.068 | Reward: -1550.26
Episode 33 | Loss: 25.079 | Policy: -2.928 | Value: 56.014 | Reward: -1550.26
Episode 34 | Loss: 16.265 | Policy: -1.918 | Value: 36.365 | Reward: -1300.26
Episode 35 | Loss: 0.248 | Policy: -0.741 | Value: 1.977 | Reward: -1550.26
Episode 36 | Loss: 34.616 | Policy: 6.362 | Value: 56.509 | Reward: -1550.26
Episode 37 | Loss: 70.541 | Policy: 9.806 | Value: 121.471 | Reward: -1800.26
Episode 38 | Loss: 67.117 | Policy: 9.022 | Value: 116.191 | Reward: -1300.26
Episode 39 | Loss: 25.702 | Policy: 5.365 | Value: 40.676 | Reward: -1550.26
Episode 40 | Loss: 0.671 | Policy: -0.711 | Value: 2.764 | Reward: -1300.26
Episode 41 | Loss: 8.248 | Policy: -1.498 | Value: 19.492 | Reward: -1300.26
Episode 42 | Loss: 4.636 | Policy: -1.239 | Value: 11.751 | Reward: -1300.26
Episode 43 | Loss: 2.815 | Policy: 1.139 | Value: 3.352 | Reward: -1300.26
Episode 44 | Loss: 3.525 | Policy: 1.447 | Value: 4.156 | Reward: -1550.26
Episode 45 | Loss: 0.875 | Policy: -0.787 | Value: 3.324 | Reward: -1300.26
Episode 46 | Loss: 0.383 | Policy: -0.480 | Value: 1.726 | Reward: -1300.26
Episode 47 | Loss: 10.431 | Policy: 3.044 | Value: 14.774 | Reward: -1300.26
Episode 48 | Loss: 11.456 | Policy: 3.234 | Value: 16.444 | Reward: -1300.26
Episode 49 | Loss: 0.924 | Policy: 0.257 | Value: 1.334 | Reward: -1300.26
Episode 50 | Loss: 19.090 | Policy: -2.603 | Value: 43.387 | Reward: -1550.26
Episode 51 | Loss: 37.262 | Policy: -2.619 | Value: 79.764 | Reward: -1300.26
Episode 52 | Loss: 25.516 | Policy: -2.243 | Value: 55.517 | Reward: -1300.26
Episode 53 | Loss: 2.338 | Policy: -0.988 | Value: 6.653 | Reward: -1300.26
Episode 54 | Loss: 22.212 | Policy: 4.853 | Value: 34.718 | Reward: -1300.26
Episode 55 | Loss: 53.310 | Policy: 7.969 | Value: 90.682 | Reward: -1300.26
