Episode 0 | Loss: 584.849 | Policy: 28.261 | Value: 1113.177 | Reward: -1300.36
Episode 1 | Loss: 105.301 | Policy: -4.108 | Value: 218.833 | Reward: -1300.29
Episode 2 | Loss: 89.364 | Policy: -3.790 | Value: 186.308 | Reward: -1300.29
Episode 3 | Loss: 16.963 | Policy: 4.137 | Value: 25.654 | Reward: -1300.36
Episode 4 | Loss: 12.642 | Policy: 3.458 | Value: 18.368 | Reward: -1300.29
Episode 5 | Loss: 30.017 | Policy: -2.388 | Value: 64.809 | Reward: -1300.29
Episode 6 | Loss: 25.493 | Policy: -2.235 | Value: 55.457 | Reward: -1300.29
Episode 7 | Loss: 4.597 | Policy: 1.752 | Value: 5.690 | Reward: -1300.29
Episode 8 | Loss: 3.406 | Policy: 1.391 | Value: 4.031 | Reward: -1300.36
Episode 9 | Loss: 18.285 | Policy: -1.960 | Value: 40.490 | Reward: -1300.29
Episode 10 | Loss: 15.778 | Policy: -1.854 | Value: 35.262 | Reward: -1300.36
Episode 11 | Loss: 2.416 | Policy: 1.036 | Value: 2.760 | Reward: -1300.36
Episode 12 | Loss: 1.759 | Policy: 0.759 | Value: 2.000 | Reward: -1300.26
Episode 13 | Loss: 13.954 | Policy: -1.764 | Value: 31.438 | Reward: -1300.29
Episode 14 | Loss: 12.024 | Policy: -1.666 | Value: 27.381 | Reward: -1300.29
Episode 15 | Loss: 1.870 | Policy: 0.823 | Value: 2.093 | Reward: -1300.36
Episode 16 | Loss: 1.358 | Policy: 0.580 | Value: 1.555 | Reward: -1300.36
Episode 17 | Loss: 11.637 | Policy: -1.640 | Value: 26.553 | Reward: -1300.26
Episode 18 | Loss: 10.107 | Policy: -1.555 | Value: 23.325 | Reward: -1300.29
Episode 19 | Loss: 1.593 | Policy: 0.710 | Value: 1.767 | Reward: -1300.26
Episode 20 | Loss: 1.140 | Policy: 0.478 | Value: 1.323 | Reward: -1300.36
Episode 21 | Loss: 10.364 | Policy: -1.562 | Value: 23.853 | Reward: -1300.26
Episode 22 | Loss: 9.033 | Policy: -1.484 | Value: 21.033 | Reward: -1300.36
Episode 23 | Loss: 1.444 | Policy: 0.654 | Value: 1.580 | Reward: -1300.36
Episode 24 | Loss: 1.018 | Policy: 0.428 | Value: 1.180 | Reward: -1300.36
Episode 25 | Loss: 9.599 | Policy: -1.508 | Value: 22.215 | Reward: -1300.26
Episode 26 | Loss: 8.389 | Policy: -1.433 | Value: 19.644 | Reward: -1300.29
Episode 27 | Loss: 1.342 | Policy: 0.621 | Value: 1.442 | Reward: -1300.36
Episode 28 | Loss: 0.934 | Policy: 0.400 | Value: 1.069 | Reward: -1300.26
Episode 29 | Loss: 9.113 | Policy: -1.467 | Value: 21.160 | Reward: -1300.26
Episode 30 | Loss: 7.968 | Policy: -1.395 | Value: 18.725 | Reward: -1300.26
Episode 31 | Loss: 1.279 | Policy: 0.608 | Value: 1.343 | Reward: -1300.26
Episode 32 | Loss: 0.882 | Policy: 0.390 | Value: 0.983 | Reward: -1300.36
Episode 33 | Loss: 8.773 | Policy: -1.434 | Value: 20.414 | Reward: -1300.29
Episode 34 | Loss: 7.681 | Policy: -1.363 | Value: 18.089 | Reward: -1300.36
Episode 35 | Loss: 1.227 | Policy: 0.600 | Value: 1.254 | Reward: -1300.36
Episode 36 | Loss: 0.834 | Policy: 0.383 | Value: 0.902 | Reward: -1300.36
Episode 37 | Loss: 8.555 | Policy: -1.408 | Value: 19.925 | Reward: -1300.26
Episode 38 | Loss: 7.498 | Policy: -1.338 | Value: 17.674 | Reward: -1300.36
