Episode 0 | Loss: 842.393 | Policy: -8.243 | Value: 1701.272 | Reward: -1050.31
Episode 1 | Loss: 368.525 | Policy: -6.883 | Value: 750.815 | Reward: -1300.29
Episode 2 | Loss: 96.615 | Policy: -3.557 | Value: 200.345 | Reward: -1300.29
Episode 3 | Loss: 0.306 | Policy: -0.294 | Value: 1.200 | Reward: -1300.29
Episode 4 | Loss: 79.535 | Policy: 10.014 | Value: 139.041 | Reward: -1300.29
Episode 5 | Loss: 180.321 | Policy: 15.425 | Value: 329.794 | Reward: -1300.29
Episode 6 | Loss: 225.339 | Policy: 17.325 | Value: 416.030 | Reward: -1300.29
Episode 7 | Loss: 204.984 | Policy: 16.317 | Value: 377.336 | Reward: -650.32
Episode 8 | Loss: 160.298 | Policy: 14.502 | Value: 291.597 | Reward: -1300.29
Episode 9 | Loss: 87.762 | Policy: 10.446 | Value: 154.642 | Reward: -650.32
Episode 10 | Loss: 32.706 | Policy: 6.179 | Value: 53.069 | Reward: -1300.31
Episode 11 | Loss: 1.029 | Policy: 0.682 | Value: 0.702 | Reward: -1300.29
Episode 12 | Loss: 22.012 | Policy: -1.350 | Value: 46.729 | Reward: -650.32
Episode 13 | Loss: 67.651 | Policy: -1.892 | Value: 139.095 | Reward: -400.42
Episode 14 | Loss: 92.095 | Policy: -2.749 | Value: 189.694 | Reward: -1050.26
Episode 15 | Loss: 92.972 | Policy: -3.521 | Value: 192.985 | Reward: -1300.29
Episode 16 | Loss: 84.407 | Policy: -2.635 | Value: 174.085 | Reward: -1050.31
Episode 17 | Loss: 51.330 | Policy: -2.653 | Value: 107.967 | Reward: -1300.29
Episode 18 | Loss: 24.328 | Policy: -1.438 | Value: 51.532 | Reward: -1050.31
Episode 19 | Loss: 2.836 | Policy: -0.521 | Value: 6.717 | Reward: -1050.26
Episode 20 | Loss: 6.637 | Policy: 2.427 | Value: 8.422 | Reward: -1050.26
Episode 21 | Loss: 25.623 | Policy: 5.344 | Value: 40.563 | Reward: -1050.26
Episode 22 | Loss: 39.523 | Policy: 6.791 | Value: 65.471 | Reward: -1050.26
Episode 23 | Loss: 41.205 | Policy: 6.948 | Value: 68.525 | Reward: -1050.26
Episode 24 | Loss: 31.258 | Policy: 5.969 | Value: 50.589 | Reward: -1050.26
Episode 25 | Loss: 15.306 | Policy: 3.990 | Value: 22.641 | Reward: -1050.26
Episode 26 | Loss: 2.107 | Policy: 1.145 | Value: 1.926 | Reward: -1050.29
Episode 27 | Loss: 3.811 | Policy: -0.597 | Value: 8.817 | Reward: -1050.29
Episode 28 | Loss: 14.214 | Policy: -1.109 | Value: 30.647 | Reward: -1050.34
Episode 29 | Loss: 20.151 | Policy: -1.312 | Value: 42.926 | Reward: -1050.29
Episode 30 | Loss: 17.894 | Policy: -1.239 | Value: 38.266 | Reward: -1050.29
Episode 31 | Loss: 9.614 | Policy: -0.921 | Value: 21.069 | Reward: -1050.29
Episode 32 | Loss: 1.429 | Policy: -0.384 | Value: 3.626 | Reward: -1050.34
Episode 33 | Loss: 3.131 | Policy: 1.501 | Value: 3.261 | Reward: -1050.34
Episode 34 | Loss: 10.583 | Policy: 3.216 | Value: 14.734 | Reward: -1050.34
Episode 35 | Loss: 15.425 | Policy: 4.040 | Value: 22.770 | Reward: -1300.31
Episode 36 | Loss: 9.925 | Policy: 3.095 | Value: 13.658 | Reward: -1050.29
Episode 37 | Loss: 3.145 | Policy: 1.505 | Value: 3.279 | Reward: -1050.29
Episode 38 | Loss: 0.449 | Policy: -0.238 | Value: 1.374 | Reward: -1050.29
Episode 39 | Loss: 2.756 | Policy: -0.517 | Value: 6.546 | Reward: -1050.29
Episode 40 | Loss: 1.849 | Policy: -0.612 | Value: 4.921 | Reward: -1300.31
Episode 41 | Loss: 0.669 | Policy: -0.280 | Value: 1.899 | Reward: -1050.29
Episode 42 | Loss: 1.305 | Policy: 0.809 | Value: 0.992 | Reward: -1050.34
Episode 43 | Loss: 4.228 | Policy: 1.838 | Value: 4.780 | Reward: -1300.31
Episode 44 | Loss: 2.105 | Policy: 1.144 | Value: 1.921 | Reward: -1050.34
Episode 45 | Loss: 0.019 | Policy: -0.048 | Value: 0.133 | Reward: -1050.29
Episode 46 | Loss: -0.045 | Policy: -0.079 | Value: 0.068 | Reward: -1300.31
Episode 47 | Loss: 1.069 | Policy: 0.699 | Value: 0.741 | Reward: -1300.31
Episode 48 | Loss: 0.578 | Policy: 0.425 | Value: 0.306 | Reward: -1300.31
Episode 49 | Loss: 0.203 | Policy: -0.311 | Value: 1.029 | Reward: -1300.31
Episode 50 | Loss: 0.315 | Policy: -0.346 | Value: 1.322 | Reward: -1300.31
Episode 51 | Loss: 0.006 | Policy: -0.015 | Value: 0.042 | Reward: -1300.31
Episode 52 | Loss: 4.203 | Policy: 1.831 | Value: 4.745 | Reward: -1300.31
Episode 53 | Loss: 5.538 | Policy: 2.169 | Value: 6.738 | Reward: -1050.29
Episode 54 | Loss: 3.867 | Policy: 1.725 | Value: 4.284 | Reward: -1050.29
Episode 55 | Loss: 0.397 | Policy: 0.303 | Value: 0.187 | Reward: -1050.29
Episode 56 | Loss: 1.498 | Policy: -0.565 | Value: 4.127 | Reward: -1300.31
Episode 57 | Loss: 4.484 | Policy: -0.875 | Value: 10.719 | Reward: -1300.31
Episode 58 | Loss: 4.203 | Policy: -0.851 | Value: 10.109 | Reward: -1300.31
Episode 59 | Loss: 1.247 | Policy: -0.526 | Value: 3.546 | Reward: -1300.31
Episode 60 | Loss: 0.573 | Policy: 0.423 | Value: 0.299 | Reward: -1300.31
Episode 61 | Loss: 2.276 | Policy: 1.215 | Value: 2.122 | Reward: -1300.31
